global_id_pk,local_id,fragment,type_name,owner_id_fk
6356,6063,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5062,4769,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5067,4774,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5978,5685,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
779,486,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5079,4786,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3860,3567,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1674,1381,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5572,5279,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2064,1771,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2474,2181,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6283,5990,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5614,5321,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4482,4189,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5776,5483,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4408,4115,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4944,4651,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
399,106,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
339,46,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5167,4874,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6061,5768,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5576,5283,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2839,2546,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6691,6398,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6794,6501,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2912,2619,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6311,6018,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4416,4123,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4533,4240,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4020,3727,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2459,2166,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4282,3989,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
613,320,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4349,4056,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3695,3402,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3259,2966,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5732,5439,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5315,5022,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3927,3634,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1373,1080,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2102,1809,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
980,687,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5091,4798,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2611,2318,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2845,2552,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1420,1127,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3962,3669,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5580,5287,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4997,4704,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
118,19,,com.hack23.cia.model.external.val.partier.impl.SwedenPoliticalParty,
298,5,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
191,92,,com.hack23.cia.model.internal.application.system.impl.LanguageData,
2244,1951,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
404,111,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
653,360,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1315,1022,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6199,5906,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
