snapshot_pk,type,version,state,changed_properties,managed_type,global_id_fk,commit_fk
521400,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2019,
  ""headCount"": 0,
  ""name"": ""Överklagandenämnden för etikprövning"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1318,
  ""comment"": ""Överklagandenämnden för etikprövning ingår fr.o.m. 2022-01-01 i Vetenskapsrådets ekonomiska redovisning."",
  ""mCode"": ""CEP"",
  ""governmentBodyId"": ""CEP"",
  ""id"": 5020,
  ""orgNumber"": ""202100-5463"",
  ""ministry"": ""Utbildningsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,5313,5311
277700,INITIAL,1,"{
  ""annualWorkHeadCount"": 427,
  ""year"": 2009,
  ""headCount"": 427,
  ""name"": ""Högskolan Väst"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1186,
  ""comment"": """",
  ""mCode"": ""HTU"",
  ""governmentBodyId"": ""HTU"",
  ""id"": 2583,
  ""orgNumber"": ""202100-4052"",
  ""ministry"": ""Utbildningsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,2876,2874
314100,INITIAL,1,"{
  ""annualWorkHeadCount"": 77,
  ""year"": 2010,
  ""headCount"": 90,
  ""name"": ""Statens geotekniska institut"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1081,
  ""comment"": """",
  ""mCode"": ""SGI"",
  ""governmentBodyId"": ""SGI"",
  ""id"": 2947,
  ""orgNumber"": ""202100-0712"",
  ""ministry"": ""Miljödepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,3240,3238
59700,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2000,
  ""headCount"": 0,
  ""name"": ""Nämnden för offentlig upphandling"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1210,
  ""comment"": """",
  ""mCode"": ""NOU"",
  ""governmentBodyId"": ""NOU"",
  ""id"": 403,
  ""orgNumber"": ""202100-4482"",
  ""ministry"": ""Finansdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,696,694
196800,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2005,
  ""headCount"": 0,
  ""name"": ""Överklagandenämnden för totalförsvaret"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1237,
  ""comment"": """",
  ""mCode"": ""ONT"",
  ""governmentBodyId"": ""ONT"",
  ""id"": 1774,
  ""orgNumber"": ""202100-4623"",
  ""ministry"": ""Försvarsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,2067,2065
39700,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 1999,
  ""headCount"": 0,
  ""name"": ""Statens kulturråd"",
  ""vat"": ""Ja"",
  ""consecutiveNumber"": 1139,
  ""comment"": """",
  ""mCode"": ""KUR"",
  ""governmentBodyId"": ""KUR"",
  ""id"": 203,
  ""orgNumber"": ""202100-1280"",
  ""ministry"": ""Kulturdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,496,494
667400,INITIAL,1,"{
  ""annualWorkHeadCount"": 134,
  ""year"": 2026,
  ""headCount"": 149,
  ""name"": ""Statens museer för världskultur"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1259,
  ""comment"": """",
  ""mCode"": ""SMVK"",
  ""governmentBodyId"": ""SMVK"",
  ""id"": 6480,
  ""orgNumber"": ""202100-5075"",
  ""ministry"": ""Kulturdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,6773,6771
38800,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 1999,
  ""headCount"": 0,
  ""name"": ""Statens institut för kommunikationsanalys"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1232,
  ""comment"": """",
  ""mCode"": ""SIKA"",
  ""governmentBodyId"": ""SIKA"",
  ""id"": 194,
  ""orgNumber"": ""202100-4847"",
  ""ministry"": ""Näringsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,487,485
195200,INITIAL,1,"{
  ""annualWorkHeadCount"": 7,
  ""year"": 2005,
  ""headCount"": 9,
  ""name"": ""Turistdelegationen"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1236,
  ""comment"": ""Upphörde 2005-12-31"",
  ""mCode"": ""TD"",
  ""governmentBodyId"": ""TD"",
  ""id"": 1758,
  ""orgNumber"": ""202100-4425"",
  ""ministry"": ""Näringsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,2051,2049
168900,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2004,
  ""headCount"": 0,
  ""name"": ""Sveriges lantbruksuniversitet"",
  ""vat"": ""Ja"",
  ""consecutiveNumber"": 1158,
  ""comment"": """",
  ""mCode"": ""SLU"",
  ""governmentBodyId"": ""SLU"",
  ""id"": 1495,
  ""orgNumber"": ""202100-2817"",
  ""ministry"": ""Landsbygdsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,1788,1786
