election_cycle_id,cycle_year,calendar_year,semester,party_1,party_2,joint_voting_days,joint_ballots,aligned_ballots,alignment_rate,avg_vote_divergence,vote_divergence_stddev,rank_by_alignment,rank_by_activity,rank_by_consistency,percentile_alignment,percentile_cohesion,quartile_coalition_strength,prev_semester_alignment,prev_semester_joint_ballots,prev_semester_divergence,next_semester_alignment,next_semester_divergence,stddev_alignment_sector,stddev_alignment_pair,stddev_divergence_pair,ma_3semester_alignment,alignment_change_absolute,alignment_change_pct,activity_change,divergence_change,coalition_strength,coalition_trend,strategic_shift,volatility_classification,consistency_classification,forecast_trend,alignment_deviation_from_ma,trend_position,coalition_tier,momentum_z_score,stability_score,breakup_risk_score,realignment_probability,coalition_density_score,bridge_classification
2006-2009,4,2009,autumn,C,S,5,157,0,0.00,58.48,4.67,45,1,31,0.5301204819277109,0.6987951807228916,4,0.00,263,54.73,0.00,58.72,42.6957896880496614,32.5526095706575421,17.4091135028779891,0.26333333333333333333,0.00,,-106,3.75,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.26,ON_TREND,STRONG_COALITION_TIER,0.00,41.06,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2010-2013,3,2012,autumn,S,SD,5,125,0,0.00,32.66,29.67,87,29,99,0.7678571428571429,0.4375,4,8.04,336,31.85,0.00,10.04,42.4760061636714867,18.1132739816227959,14.3534453819747868,2.6800000000000000,-8.04,-100.00,-211,0.81,OPPOSITION,WEAKENING,MINOR_SHIFT,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_STABLE,2.68,ON_TREND,ELITE_COALITION,-0.44,41.30,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2010-2013,2,2011,autumn,KD,V,4,106,1,0.94,55.17,29.85,77,78,100,0.6785714285714286,0.9107142857142857,3,0.00,209,77.05,0.00,55.81,42.4760061636714867,28.5891260102486829,24.2074823947713391,0.92000000000000000000,0.94,,-103,-21.88,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_STABLE,-0.02,ON_TREND,STRONG_COALITION_TIER,0.03,34.87,75.0,MODERATE_PROBABILITY,0.72,STRONG_BRIDGE
2010-2013,1,2010,spring,KD,S,5,209,0,0.00,62.80,6.60,69,93,77,0.5714285714285714,0.865546218487395,4,1.82,110,39.27,0.94,39.40,43.5015080848896803,32.5901277089135631,14.4808535710040908,0.60666666666666666667,-1.82,-100.00,99,23.53,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.61,ON_TREND,STRONG_COALITION_TIER,-0.06,39.18,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2002-2005,3,2004,spring,M,V,5,342,0,0.00,25.18,12.01,27,1,44,0.37681159420289856,0.5217391304347826,4,0.00,193,23.23,0.00,29.54,25.4699644944184949,22.9873958437592972,26.6916718716994855,6.5466666666666667,0.00,,149,1.95,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,6.55,BELOW_TREND,MODERATE_COALITION_TIER,0.00,48.84,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
2002-2005,1,2002,autumn,L,S,3,90,5,5.56,40.07,15.31,16,71,76,0.16666666666666666,0.8222222222222222,2,,,,0.00,50.46,31.7570277295618059,35.6241446586698827,15.4404333306926789,5.5600000000000000,,,,,OPPOSITION,BASELINE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_DECLINE,0.00,ON_TREND,WEAK_COALITION_TIER,,45.61,75.0,MODERATE_PROBABILITY,2.59,WEAK_BRIDGE
2010-2013,3,2012,autumn,C,MP,5,125,11,8.80,30.97,19.49,49,29,65,0.42857142857142855,0.39285714285714285,2,7.44,336,39.47,4.41,36.60,42.4760061636714867,33.0995269975325979,16.8469376583807938,23.6533333333333333,1.36,18.28,-211,-8.50,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,14.85,BELOW_TREND,MODERATE_COALITION_TIER,0.04,48.38,75.0,MODERATE_PROBABILITY,7.91,MODERATE_BRIDGE
2006-2009,3,2008,autumn,C,M,5,126,126,100.00,13.20,9.93,1,22,56,0,0.3253012048192771,1,100.00,229,5.80,100.00,4.44,42.6957896880496614,41.9754943825025154,12.3915098966687459,100.0000000000000000,0.00,0.00,-103,7.40,VERY_STRONG_COALITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,WEAK_COALITION_TIER,0.00,93.06,50.0,MODERATE_PROBABILITY,80.25,WEAK_BRIDGE
2018-2021,4,2021,spring,KD,S,5,477,0,0.00,6.91,1.30,57,1,26,0.3916083916083916,0.2937062937062937,3,62.50,80,16.68,95.74,14.21,35.7396264906715041,32.5901277089135631,14.4808535710040908,20.8333333333333333,-62.50,-100.00,397,-9.77,OPPOSITION,RAPIDLY_WEAKENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STRENGTHENING,20.83,BELOW_TREND,MODERATE_COALITION_TIER,-1.92,57.54,75.0,HIGH_PROBABILITY,0.00,MODERATE_BRIDGE
2018-2021,4,2021,spring,S,V,5,477,0,0.00,4.66,1.04,57,1,18,0.3916083916083916,0.1958041958041958,2,10.00,80,22.49,0.00,30.10,35.7396264906715041,42.8650577785828889,8.1541679500114612,6.4700000000000000,-10.00,-100.00,397,-17.83,OPPOSITION,WEAKENING,SIGNIFICANT_SHIFT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,6.47,BELOW_TREND,MODERATE_COALITION_TIER,-0.23,58.29,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
2018-2021,3,2020,autumn,KD,V,5,88,0,0.00,7.20,10.26,95,1,88,0.6962962962962963,0.23703703703703705,4,100.00,411,9.69,0.00,7.48,39.0017827824269138,28.5891260102486829,24.2074823947713391,33.3333333333333333,-100.00,-100.00,-323,-2.49,OPPOSITION,RAPIDLY_WEAKENING,COALITION_BREAKUP,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,33.33,BELOW_TREND,STRONG_COALITION_TIER,-3.50,54.76,90.0,HIGH_PROBABILITY,0.00,STRONG_BRIDGE
2022-2025,4,2025,autumn,C,M,5,64,47,73.44,26.18,14.35,20,37,69,0.14074074074074075,0.4074074074074074,1,27.95,347,37.26,18.04,45.61,35.3448254056102381,41.9754943825025154,12.3915098966687459,45.6400000000000000,45.49,162.75,-283,-11.08,STRONG_COALITION,RAPIDLY_STRENGTHENING,COALITION_FORMATION,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_WEAKENING,-27.80,ABOVE_TREND,WEAK_COALITION_TIER,1.08,77.22,50.0,HIGH_PROBABILITY,61.84,WEAK_BRIDGE
2022-2025,4,2025,autumn,L,M,5,64,64,100.00,5.11,2.07,1,37,3,0,0.06666666666666667,1,100.00,347,8.31,100.00,5.31,35.3448254056102381,42.3953360371198955,6.1227628927940847,100.0000000000000000,0.00,0.00,-283,-3.20,VERY_STRONG_COALITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,WEAK_COALITION_TIER,0.00,97.85,50.0,MODERATE_PROBABILITY,84.21,WEAK_BRIDGE
2002-2005,2,2003,autumn,L,V,5,170,0,0.00,28.41,15.81,31,22,79,0.3333333333333333,0.6666666666666666,4,5.56,90,14.32,0.00,36.20,31.7570277295618059,30.0147176965987602,23.1955269079579201,2.7800000000000000,-5.56,-100.00,80,14.09,OPPOSITION,DECLINING,MINOR_SHIFT,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,2.78,ON_TREND,MODERATE_COALITION_TIER,-0.19,46.73,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
2022-2025,1,2022,autumn,M,V,4,47,0,0.00,40.68,22.64,88,73,102,0.6444444444444445,0.7333333333333333,4,0.00,477,0.62,20.09,5.61,35.3448254056102381,22.9873958437592972,26.6916718716994855,0.00000000000000000000,0.00,,-430,40.06,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_STRENGTHENING,0.00,ON_TREND,STRONG_COALITION_TIER,0.00,41.00,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2018-2021,2,2019,autumn,L,SD,3,55,0,0.00,45.34,4.80,95,101,39,0.6962962962962963,0.9481481481481482,3,0.00,451,11.87,0.00,19.89,39.0017827824269138,39.7692273833257498,11.6236146080105200,12.3800000000000000,0.00,,-396,33.47,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,12.38,BELOW_TREND,STRONG_COALITION_TIER,0.00,44.96,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2010-2013,2,2011,autumn,KD,SD,4,106,105,99.06,34.33,26.87,23,78,91,0.19642857142857142,0.48214285714285715,1,,,,92.56,16.24,42.4760061636714867,40.3255462400145989,13.4062859219927956,99.0600000000000000,,,,,VERY_STRONG_COALITION,BASELINE,STABLE,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_DECLINE,0.00,ON_TREND,WEAK_COALITION_TIER,,81.26,50.0,MODERATE_PROBABILITY,75.54,WEAK_BRIDGE
2006-2009,1,2006,spring,C,V,5,356,0,0.00,34.17,21.94,39,1,88,0.4222222222222222,0.5222222222222223,4,0.00,83,64.54,0.00,72.81,40.0848605728405238,26.3208909707458163,24.0247865724258024,0.00000000000000000000,0.00,,273,-30.37,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_STABLE,0.00,ON_TREND,MODERATE_COALITION_TIER,0.00,43.17,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
2010-2013,3,2012,autumn,KD,S,5,125,58,46.40,34.42,17.82,45,29,60,0.39285714285714285,0.49107142857142855,2,15.48,336,38.57,11.47,41.27,42.4760061636714867,32.5901277089135631,14.4808535710040908,20.9400000000000000,30.92,199.74,-211,-4.15,WEAK_COALITION,RAPIDLY_STRENGTHENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_WEAKENING,-25.46,ABOVE_TREND,MODERATE_COALITION_TIER,0.95,62.89,75.0,HIGH_PROBABILITY,41.73,MODERATE_BRIDGE
2014-2017,2,2015,spring,C,S,5,277,277,100.00,22.96,8.85,1,101,111,0,0.5118110236220472,1,9.47,95,30.58,37.18,20.91,40.4221695593943564,32.5526095706575421,17.4091135028779891,41.0566666666666667,90.53,955.97,182,-7.62,VERY_STRONG_COALITION,RAPIDLY_STRENGTHENING,COALITION_FORMATION,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_WEAKENING,-58.94,ABOVE_TREND,WEAK_COALITION_TIER,2.78,90.46,50.0,HIGH_PROBABILITY,70.66,WEAK_BRIDGE
2010-2013,2,2011,spring,L,SD,5,336,311,92.56,17.93,14.03,32,65,113,0.2605042016806723,0.37815126050420167,2,99.06,106,35.98,48.80,51.46,43.5015080848896803,39.7692273833257498,11.6236146080105200,95.8100000000000000,-6.50,-6.56,230,-18.05,VERY_STRONG_COALITION,DECLINING,MINOR_SHIFT,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_WEAKENING,3.25,ON_TREND,MODERATE_COALITION_TIER,-0.16,87.44,50.0,MODERATE_PROBABILITY,88.86,MODERATE_BRIDGE
2010-2013,3,2012,autumn,C,SD,5,125,61,48.80,48.79,26.34,41,29,87,0.35714285714285715,0.8125,2,92.56,336,13.40,35.00,28.29,42.4760061636714867,30.1988374389920293,12.4561172120368232,80.1400000000000000,-43.76,-47.28,-211,35.39,WEAK_COALITION,RAPIDLY_WEAKENING,COALITION_BREAKUP,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_WEAKENING,31.34,BELOW_TREND,MODERATE_COALITION_TIER,-1.45,56.98,90.0,HIGH_PROBABILITY,43.88,MODERATE_BRIDGE
2010-2013,3,2012,spring,-,V,5,340,0,0.00,22.75,8.89,69,29,94,0.5714285714285714,0.40336134453781514,4,0.00,105,10.70,0.00,60.71,43.5015080848896803,19.3377731772708659,20.0603343061966570,0.00000000000000000000,0.00,,235,12.05,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,STRONG_COALITION_TIER,0.00,50.51,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2018-2021,3,2020,autumn,L,SD,5,88,0,0.00,8.48,8.19,95,1,69,0.6962962962962963,0.3037037037037037,4,0.00,411,19.89,0.00,8.47,39.0017827824269138,39.7692273833257498,11.6236146080105200,0.00000000000000000000,0.00,,-323,-11.41,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,STRONG_COALITION_TIER,0.00,55.00,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2006-2009,2,2007,autumn,M,V,4,94,0,0.00,79.63,5.50,45,43,38,0.5301204819277109,0.9518072289156626,3,0.00,356,27.74,0.00,76.80,42.6957896880496614,22.9873958437592972,26.6916718716994855,0.00000000000000000000,0.00,,-262,51.89,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,STRONG_COALITION_TIER,0.00,34.46,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2010-2013,3,2012,spring,S,V,5,340,0,0.00,18.09,6.43,69,29,72,0.5714285714285714,0.3865546218487395,3,8.80,125,14.53,0.00,13.46,43.5015080848896803,42.8650577785828889,8.1541679500114612,12.8533333333333333,-8.80,-100.00,215,3.56,OPPOSITION,WEAKENING,MINOR_SHIFT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,12.85,BELOW_TREND,STRONG_COALITION_TIER,-0.21,52.64,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2018-2021,2,2019,spring,-,V,4,325,0,0.00,63.25,5.89,57,137,101,0.3916083916083916,0.9790209790209791,4,21.82,55,24.29,0.00,5.59,35.7396264906715041,19.3377731772708659,20.0603343061966570,7.2733333333333333,-21.82,-100.00,270,38.96,OPPOSITION,RAPIDLY_WEAKENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,7.27,BELOW_TREND,MODERATE_COALITION_TIER,-1.13,39.26,75.0,HIGH_PROBABILITY,0.00,MODERATE_BRIDGE
2002-2005,1,2002,autumn,MP,V,3,90,90,100.00,2.87,3.70,1,71,7,0,0.011111111111111112,1,,,,76.47,13.68,31.7570277295618059,39.4425609753850410,8.5232541068768942,100.0000000000000000,,,,,VERY_STRONG_COALITION,BASELINE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_WEAKENING,0.00,ON_TREND,WEAK_COALITION_TIER,,98.03,50.0,MODERATE_PROBABILITY,46.63,WEAK_BRIDGE
2022-2025,1,2022,autumn,C,MP,4,47,0,0.00,32.13,33.86,88,73,134,0.6444444444444445,0.5037037037037037,4,0.00,477,5.54,63.89,4.89,35.3448254056102381,33.0995269975325979,16.8469376583807938,24.1666666666666667,0.00,,-430,26.59,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_STRENGTHENING,24.17,BELOW_TREND,STRONG_COALITION_TIER,0.00,40.20,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2014-2017,1,2014,autumn,KD,L,3,49,49,100.00,20.45,15.50,1,101,94,0,0.3543307086614173,1,100.00,350,7.88,100.00,7.36,31.0509595457950318,41.7452202342232544,5.7022096929634243,100.0000000000000000,0.00,0.00,-301,12.57,VERY_STRONG_COALITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,WEAK_COALITION_TIER,0.00,89.22,50.0,MODERATE_PROBABILITY,44.95,WEAK_BRIDGE
2014-2017,1,2014,spring,S,SD,5,343,0,0.00,7.73,6.08,91,73,83,0.7086614173228346,0.2440944881889764,4,0.00,49,36.16,26.32,48.97,40.4221695593943564,18.1132739816227959,14.3534453819747868,0.00000000000000000000,0.00,,294,-28.43,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STRENGTHENING,0.00,ON_TREND,STRONG_COALITION_TIER,0.00,55.86,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2022-2025,3,2024,autumn,C,L,5,76,27,35.53,32.58,7.89,47,1,36,0.34074074074074073,0.5259259259259259,2,0.00,345,48.90,27.95,28.95,35.3448254056102381,42.6688076950033065,10.3190271017155168,14.1166666666666667,35.53,,-269,-16.32,WEAK_COALITION,RAPIDLY_STRENGTHENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_DECLINE,-21.41,ABOVE_TREND,MODERATE_COALITION_TIER,0.83,62.07,75.0,HIGH_PROBABILITY,35.53,MODERATE_BRIDGE
2022-2025,4,2025,autumn,L,V,5,64,0,0.00,56.92,13.91,88,37,63,0.6444444444444445,0.8962962962962963,4,0.00,347,37.88,0.00,44.97,35.3448254056102381,30.0147176965987602,23.1955269079579201,0.00000000000000000000,0.00,,-283,19.04,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,STRONG_COALITION_TIER,0.00,38.75,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2006-2009,2,2007,spring,L,M,5,229,229,100.00,11.91,5.74,1,50,45,0,0.3111111111111111,1,100.00,94,11.75,100.00,7.15,40.0848605728405238,42.3953360371198955,6.1227628927940847,66.7600000000000000,0.00,0.00,135,0.16,VERY_STRONG_COALITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,-33.24,ABOVE_TREND,WEAK_COALITION_TIER,0.00,94.71,50.0,MODERATE_PROBABILITY,64.33,WEAK_BRIDGE
2006-2009,1,2006,autumn,KD,L,3,83,63,75.90,11.02,3.72,21,64,23,0.24096385542168675,0.25301204819277107,2,9.89,273,4.85,0.28,4.51,42.6957896880496614,41.7452202342232544,5.7022096929634243,28.5966666666666667,66.01,667.44,-190,6.17,STRONG_COALITION,RAPIDLY_STRENGTHENING,COALITION_FORMATION,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_WEAKENING,-47.30,ABOVE_TREND,WEAK_COALITION_TIER,1.58,85.94,50.0,HIGH_PROBABILITY,40.13,WEAK_BRIDGE
2010-2013,4,2013,spring,M,MP,5,350,21,6.00,48.50,6.53,60,1,74,0.4957983193277311,0.7310924369747899,3,0.00,139,52.71,51.02,28.52,43.5015080848896803,27.8746522477988507,18.5928859456064178,3.4700000000000000,6.00,,211,-4.21,OPPOSITION,IMPROVING,MINOR_SHIFT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STRENGTHENING,-2.53,ON_TREND,MODERATE_COALITION_TIER,0.22,45.89,75.0,MODERATE_PROBABILITY,6.00,MODERATE_BRIDGE
2002-2005,4,2005,autumn,C,KD,4,167,0,0.00,9.25,4.75,31,43,16,0.3333333333333333,0.15555555555555556,2,0.00,342,6.30,2.56,4.64,31.7570277295618059,43.0157204927055018,11.3520433922983538,0.00000000000000000000,0.00,,-175,2.95,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,MODERATE_COALITION_TIER,0.00,55.80,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
2002-2005,1,2002,autumn,KD,MP,3,90,5,5.56,25.58,4.57,16,71,15,0.16666666666666666,0.5555555555555556,1,,,,0.00,28.58,31.7570277295618059,31.6301988646497904,16.4826756025947198,5.5600000000000000,,,,,OPPOSITION,BASELINE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_DECLINE,0.00,ON_TREND,WEAK_COALITION_TIER,,53.18,75.0,MODERATE_PROBABILITY,2.59,WEAK_BRIDGE
2010-2013,3,2012,autumn,KD,MP,5,125,11,8.80,39.27,20.13,49,29,72,0.42857142857142855,0.5982142857142857,2,7.44,336,42.00,4.41,43.51,42.4760061636714867,31.6301988646497904,16.4826756025947198,23.6533333333333333,1.36,18.28,-211,-2.73,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_STABLE,14.85,BELOW_TREND,MODERATE_COALITION_TIER,0.04,45.70,75.0,MODERATE_PROBABILITY,7.91,MODERATE_BRIDGE
2022-2025,2,2023,autumn,C,M,5,44,3,6.82,38.98,20.25,79,101,97,0.5777777777777777,0.674074074074074,3,44.43,637,2.64,0.00,51.06,35.3448254056102381,41.9754943825025154,12.3915098966687459,31.9766666666666667,-37.61,-84.65,-593,36.34,OPPOSITION,RAPIDLY_WEAKENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_DECLINE,25.16,BELOW_TREND,STRONG_COALITION_TIER,-0.90,44.96,75.0,HIGH_PROBABILITY,3.95,STRONG_BRIDGE
2014-2017,2,2015,autumn,KD,SD,4,95,0,0.00,24.93,15.29,88,37,92,0.6850393700787402,0.4881889763779528,4,43.44,343,41.19,0.00,26.32,31.0509595457950318,40.3255462400145989,13.4062859219927956,30.8066666666666667,-43.44,-100.00,-248,-16.26,OPPOSITION,RAPIDLY_WEAKENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,30.81,BELOW_TREND,STRONG_COALITION_TIER,-1.08,47.93,75.0,HIGH_PROBABILITY,0.00,STRONG_BRIDGE
2022-2025,4,2025,autumn,-,KD,5,64,15,23.44,39.84,27.95,56,37,120,0.4074074074074074,0.6962962962962963,2,14.41,347,35.70,34.54,37.54,35.3448254056102381,25.4300513473958783,20.6026968062431355,32.3533333333333333,9.03,62.66,-283,4.14,OPPOSITION,STRENGTHENING,MINOR_SHIFT,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_STRENGTHENING,8.91,BELOW_TREND,MODERATE_COALITION_TIER,0.36,49.04,75.0,MODERATE_PROBABILITY,19.74,MODERATE_BRIDGE
2018-2021,2,2019,autumn,L,V,3,55,12,21.82,42.31,16.27,71,101,125,0.5185185185185185,0.9259259259259259,3,73.84,451,8.89,100.00,13.67,39.0017827824269138,30.0147176965987602,23.1955269079579201,65.2200000000000000,-52.02,-70.45,-396,33.42,OPPOSITION,RAPIDLY_WEAKENING,COALITION_BREAKUP,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STRENGTHENING,43.40,BELOW_TREND,STRONG_COALITION_TIER,-1.73,51.15,90.0,HIGH_PROBABILITY,13.64,STRONG_BRIDGE
2022-2025,2,2023,spring,C,SD,5,345,0,0.00,19.97,5.50,71,109,72,0.5185185185185185,0.5481481481481482,4,6.82,44,36.71,35.53,31.03,34.8557019593299599,30.1988374389920293,12.4561172120368232,2.2733333333333333,-6.82,-100.00,301,-16.74,OPPOSITION,DECLINING,MINOR_SHIFT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STRENGTHENING,2.27,ON_TREND,STRONG_COALITION_TIER,-0.23,52.36,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2018-2021,1,2018,spring,-,SD,5,451,0,0.00,14.35,4.84,57,37,79,0.3916083916083916,0.6363636363636364,4,0.00,392,20.11,0.00,27.32,35.7396264906715041,18.4179212075263315,14.9112275087322880,0.00000000000000000000,0.00,,59,-5.76,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,MODERATE_COALITION_TIER,0.00,54.24,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
2022-2025,4,2025,spring,C,L,5,388,70,18.04,40.30,12.70,59,37,133,0.42962962962962964,0.8296296296296296,2,73.44,64,23.57,,,34.8557019593299599,42.6688076950033065,10.3190271017155168,39.8100000000000000,-55.40,-75.44,324,16.73,OPPOSITION,RAPIDLY_WEAKENING,COALITION_BREAKUP,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,NO_FORECAST,21.77,BELOW_TREND,MODERATE_COALITION_TIER,-1.30,51.32,90.0,HIGH_PROBABILITY,10.99,MODERATE_BRIDGE
2006-2009,3,2008,autumn,KD,MP,5,126,1,0.79,46.37,20.95,36,22,77,0.42168674698795183,0.46987951807228917,2,0.00,229,54.69,0.00,57.27,42.6957896880496614,31.6301988646497904,16.4826756025947198,0.26333333333333333333,0.79,,-103,-8.32,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_STABLE,-0.53,ON_TREND,MODERATE_COALITION_TIER,0.02,40.12,75.0,MODERATE_PROBABILITY,0.63,MODERATE_BRIDGE
2018-2021,1,2018,spring,L,S,5,451,333,73.84,32.95,4.91,22,37,83,0.14685314685314685,0.8741258741258742,1,100.00,70,19.44,100.00,8.30,35.7396264906715041,35.6241446586698827,15.4404333306926789,91.2800000000000000,-26.16,-26.16,381,13.51,STRONG_COALITION,RAPIDLY_WEAKENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STRENGTHENING,17.44,BELOW_TREND,WEAK_COALITION_TIER,-0.73,78.18,50.0,HIGH_PROBABILITY,69.82,WEAK_BRIDGE
2014-2017,3,2016,autumn,S,V,5,78,78,100.00,25.63,6.71,1,65,29,0,0.5275590551181102,1,69.31,277,25.12,90.83,31.10,31.0509595457950318,42.8650577785828889,8.1541679500114612,89.7700000000000000,30.69,44.28,-199,0.51,VERY_STRONG_COALITION,RAPIDLY_STRENGTHENING,MAJOR_REALIGNMENT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_DECLINE,-10.23,ABOVE_TREND,WEAK_COALITION_TIER,0.72,90.30,50.0,HIGH_PROBABILITY,71.56,WEAK_BRIDGE
2014-2017,2,2015,spring,C,KD,5,277,277,100.00,5.62,4.66,1,101,53,0,0.13385826771653545,1,9.47,95,8.73,32.05,17.69,40.4221695593943564,43.0157204927055018,11.3520433922983538,69.8233333333333333,90.53,955.97,182,-3.11,VERY_STRONG_COALITION,RAPIDLY_STRENGTHENING,COALITION_FORMATION,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_WEAKENING,-30.18,ABOVE_TREND,WEAK_COALITION_TIER,2.10,96.92,50.0,HIGH_PROBABILITY,70.66,WEAK_BRIDGE
