election_cycle_id,cycle_year,calendar_year,semester,party_1,party_2,joint_voting_days,joint_ballots,aligned_ballots,alignment_rate,avg_vote_divergence,vote_divergence_stddev,rank_by_alignment,rank_by_activity,rank_by_consistency,percentile_alignment,percentile_cohesion,quartile_coalition_strength,prev_semester_alignment,prev_semester_joint_ballots,prev_semester_divergence,next_semester_alignment,next_semester_divergence,stddev_alignment_sector,stddev_alignment_pair,stddev_divergence_pair,ma_3semester_alignment,alignment_change_absolute,alignment_change_pct,activity_change,divergence_change,coalition_strength,coalition_trend,strategic_shift,volatility_classification,consistency_classification,forecast_trend,alignment_deviation_from_ma,trend_position,coalition_tier,momentum_z_score,stability_score,breakup_risk_score,realignment_probability,coalition_density_score,bridge_classification
2022-2025,1,2022,spring,KD,SD,5,637,0,0.00,3.25,3.69,71,1,41,0.5185185185185185,0.037037037037037035,3,65.96,47,8.09,100.00,6.34,34.8557019593299599,40.3255462400145989,13.4062859219927956,21.9866666666666667,-65.96,-100.00,590,-4.84,OPPOSITION,RAPIDLY_WEAKENING,COALITION_BREAKUP,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STRENGTHENING,21.99,BELOW_TREND,STRONG_COALITION_TIER,-1.64,57.92,90.0,HIGH_PROBABILITY,0.00,STRONG_BRIDGE
2022-2025,3,2024,autumn,-,SD,5,76,45,59.21,25.02,11.19,33,1,46,0.23703703703703705,0.37037037037037035,1,53.85,39,40.30,14.41,16.79,35.3448254056102381,18.4179212075263315,14.9112275087322880,37.6866666666666667,5.36,9.95,37,-15.28,MODERATE_COALITION,IMPROVING,MINOR_SHIFT,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_WEAKENING,-21.52,ABOVE_TREND,WEAK_COALITION_TIER,0.29,72.82,50.0,MODERATE_PROBABILITY,59.21,WEAK_BRIDGE
2018-2021,2,2019,autumn,M,SD,3,55,0,0.00,14.84,9.67,95,101,83,0.6962962962962963,0.5037037037037037,4,0.00,451,9.39,0.00,9.31,39.0017827824269138,40.3553429492992360,14.3570095965544146,12.3800000000000000,0.00,,-396,5.45,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,12.38,BELOW_TREND,STRONG_COALITION_TIER,0.00,52.65,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2002-2005,3,2004,autumn,L,M,5,193,0,0.00,10.69,4.51,31,1,13,0.3333333333333333,0.2111111111111111,4,0.00,336,10.47,0.00,4.06,31.7570277295618059,42.3953360371198955,6.1227628927940847,0.00000000000000000000,0.00,,-143,0.22,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,MODERATE_COALITION_TIER,0.00,55.44,75.0,MODERATE_PROBABILITY,0.00,MODERATE_BRIDGE
2010-2013,3,2012,spring,KD,SD,5,340,119,35.00,35.20,8.85,41,29,93,0.33613445378151263,0.4957983193277311,2,48.80,125,54.98,74.10,28.97,43.5015080848896803,40.3255462400145989,13.4062859219927956,58.7866666666666667,-13.80,-28.28,215,-19.78,WEAK_COALITION,WEAKENING,SIGNIFICANT_SHIFT,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STRENGTHENING,23.79,BELOW_TREND,MODERATE_COALITION_TIER,-0.34,60.79,75.0,HIGH_PROBABILITY,34.00,MODERATE_BRIDGE
2022-2025,4,2025,autumn,KD,MP,5,64,0,0.00,58.79,16.63,88,37,82,0.6444444444444445,0.9111111111111111,3,0.00,347,48.09,0.00,54.47,35.3448254056102381,31.6301988646497904,16.4826756025947198,0.00000000000000000000,0.00,,-283,10.70,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,0.00,ON_TREND,STRONG_COALITION_TIER,0.00,37.37,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2006-2009,2,2007,autumn,L,MP,4,94,0,0.00,55.40,13.55,45,43,63,0.5301204819277109,0.6385542168674698,3,0.28,356,11.28,0.00,49.25,42.6957896880496614,35.4718366942119591,16.8043965420271214,0.09333333333333333333,-0.28,-100.00,-262,44.12,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_STABLE,0.09,ON_TREND,STRONG_COALITION_TIER,-0.01,39.32,75.0,MODERATE_PROBABILITY,0.00,STRONG_BRIDGE
2006-2009,3,2008,autumn,KD,S,5,126,1,0.79,49.39,22.24,36,22,80,0.42168674698795183,0.5180722891566265,2,0.00,229,46.72,0.00,52.90,42.6957896880496614,32.5901277089135631,14.4808535710040908,0.26333333333333333333,0.79,,-103,2.67,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,INCONSISTENT_ALIGNMENT,EXPECTED_STABLE,-0.53,ON_TREND,MODERATE_COALITION_TIER,0.02,38.83,75.0,MODERATE_PROBABILITY,0.63,MODERATE_BRIDGE
2018-2021,4,2021,autumn,L,V,5,80,8,10.00,15.44,11.74,87,37,101,0.6370370370370371,0.5259259259259259,3,9.41,340,2.75,0.00,1.87,39.0017827824269138,30.0147176965987602,23.1955269079579201,6.4700000000000000,0.59,6.27,-260,12.69,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,MODERATE_CONSISTENCY,EXPECTED_DECLINE,-3.53,ON_TREND,STRONG_COALITION_TIER,0.02,55.85,75.0,MODERATE_PROBABILITY,9.09,STRONG_BRIDGE
2006-2009,1,2006,spring,C,MP,5,356,1,0.28,14.13,9.15,29,1,66,0.3111111111111111,0.32222222222222224,2,0.00,83,48.70,0.00,60.32,40.0848605728405238,33.0995269975325979,16.8469376583807938,0.09333333333333333333,0.28,,273,-34.57,OPPOSITION,STABLE,STABLE,HIGHLY_VOLATILE_PAIR,HIGH_CONSISTENCY,EXPECTED_STABLE,-0.19,ON_TREND,MODERATE_COALITION_TIER,0.01,53.13,75.0,MODERATE_PROBABILITY,0.28,MODERATE_BRIDGE
