embedded_id_vote_date,embedded_id_intressent_id,first_name,last_name,gender,born_year,party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,politician_yes_votes,politician_no_votes,politician_abstain_votes,politician_absent_votes,politician_percentage_yes,politician_percentage_no,politician_percentage_abstain,politician_percentage_absent,won_percentage,won_total,rebel_percentage,rebel_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2002-10-01,0853813080501,Majléne,Westerlund Panke,KVINNA,1946,S,5,1954,68.79,18.99,10.65,1.58,54.44,1745,1177,349,33,186,720,662,2,0,56,1954,51.39,91.94,0.28,0.00,7.78,5,5,0,0,0,100.00,0.00,0.00,0.00,100.00,5,0.00,0,100.00,5,100.00,67.45,20.00,1.89,10.66,100.00
2022-05-01,0229760896014,Anders,W Jonsson,MAN,1961,C,149,1973,53.27,19.91,16.62,10.20,53.26,52001,28767,10465,4255,8514,4619,2172,1155,666,626,1972,57.14,47.02,25.01,14.42,13.55,99,59,34,17,39,39.60,22.82,11.41,26.17,51.68,77,0.00,0,66.44,131,87.92,55.32,20.12,8.18,16.37,91.29
2012-02-01,0115834246514,Emma,Wallrup,KVINNA,1971,V,39,1963,68.46,15.60,12.27,3.67,55.43,13611,9153,2176,524,1758,741,249,317,121,54,1962,36.84,33.60,42.78,16.33,7.29,14,15,17,7,0,38.46,43.59,17.95,0.00,38.46,15,2.56,1,35.90,39,100.00,67.25,15.99,3.85,12.92,100.00
2011-03-01,0803753212716,Richard,Jomshof,MAN,1969,SD,116,1963,60.94,25.37,10.08,3.62,54.37,40484,24342,10193,1660,4289,2320,1723,422,74,101,1968,90.00,74.27,18.19,3.19,4.35,89,90,22,4,0,77.59,18.97,3.45,0.00,75.86,88,0.00,0,76.72,114,98.28,60.13,25.18,4.10,10.59,97.71
2005-11-01,046703152205,Kent,Olsson,MAN,1944,M,95,1954,56.26,19.18,18.34,6.22,54.14,33155,18944,6290,1910,6011,5225,1791,1895,514,1025,1954,58.18,34.28,36.27,9.84,19.62,42,21,28,6,40,22.11,29.47,6.32,42.11,22.11,21,0.00,0,44.21,95,100.00,57.14,18.97,5.76,18.13,100.00
2003-01-01,0133282248705,Helena,Bargholtz,KVINNA,1942,L,16,1954,66.22,13.51,14.15,6.13,54.00,5584,3167,854,627,936,768,232,216,173,147,1956,50.49,30.21,28.13,22.53,19.14,7,4,4,4,4,25.00,25.00,25.00,25.00,25.00,4,0.00,0,43.75,16,100.00,56.72,15.29,11.23,16.76,100.00
2020-02-01,055824190225,Ebba,Hermansson,KVINNA,1996,SD,32,1973,60.05,23.23,10.84,5.88,52.72,11168,6979,2381,592,1216,1984,987,694,175,128,1976,70.97,49.75,34.98,8.82,6.45,18,17,12,3,0,53.13,37.50,9.38,0.00,56.25,18,0.00,0,56.25,31,96.88,62.49,21.32,5.30,10.89,98.25
2009-05-01,099373212513,Tobias,Krantz,MAN,1971,L,27,1959,49.81,31.23,18.10,0.86,52.46,9423,4841,2843,73,1666,756,564,1,1,190,1960,39.29,74.60,0.13,0.13,25.13,27,22,0,0,5,81.48,0.00,0.00,18.52,81.48,22,0.00,0,100.00,27,100.00,51.37,30.17,0.77,17.68,100.00
2017-10-01,0271543079118,Heidi,Karlsson,KVINNA,1969,SD,8,1969,53.67,30.78,14.37,1.19,53.73,2792,1686,592,58,456,368,152,117,38,61,1974,78.26,41.30,31.79,10.33,16.58,4,4,3,1,0,50.00,37.50,12.50,0.00,50.00,4,0.00,0,50.00,8,100.00,60.39,21.20,2.08,16.33,100.00
2012-04-01,08188046917,Susanna,Haby,KVINNA,1957,M,79,1963,65.36,18.92,12.93,2.79,56.96,27571,18332,4376,1490,3373,8453,7622,1,4,826,1964,59.26,90.17,0.01,0.05,9.77,79,73,0,0,6,92.41,0.00,0.00,7.59,92.41,73,0.00,0,100.00,79,100.00,66.49,15.87,5.40,12.23,100.00
2004-10-01,0515990253512,Yilmaz,Kerimo,MAN,1963,S,22,1954,59.90,18.64,16.50,4.97,53.44,7678,4763,1400,280,1235,3168,2752,0,1,415,1954,49.66,86.87,0.00,0.03,13.10,21,22,0,0,0,100.00,0.00,0.00,0.00,95.45,21,0.00,0,95.45,21,95.45,62.03,18.23,3.65,16.08,97.73
2012-05-01,0285352171912,Henrik,Ripa,MAN,1968,M,104,1963,63.74,21.11,11.39,3.76,57.02,36296,22993,7466,1839,3998,11128,9946,194,4,984,1965,58.88,89.38,1.74,0.04,8.84,101,89,2,0,13,85.58,1.92,0.00,12.50,84.62,88,0.00,0,97.12,103,99.04,63.35,20.57,5.07,11.01,98.96
2013-06-01,0777657837318,Anders,Andersson,MAN,1955,KD,21,1963,62.98,21.03,12.45,3.54,56.45,7329,4821,1292,287,929,399,346,0,0,53,1961,57.89,86.72,0.00,0.00,13.28,21,21,0,0,0,100.00,0.00,0.00,0.00,100.00,21,0.00,0,100.00,21,100.00,65.78,17.63,3.92,12.68,100.00
2013-05-01,0564126739422,Åsa,Coenraads,KVINNA,1978,M,102,1963,61.88,20.75,11.45,5.93,56.30,35598,23083,6911,1504,4100,10914,9876,197,1,840,1965,57.01,90.49,1.81,0.01,7.70,99,100,2,0,0,98.04,1.96,0.00,0.00,97.06,99,0.00,0,97.06,101,99.02,64.84,19.41,4.22,11.52,93.75
2003-10-01,0534056896314,Lars,Gustafsson,MAN,1951,KD,24,1954,57.52,20.48,18.40,3.59,55.24,8376,4903,1580,390,1503,792,219,410,30,133,1951,69.09,27.65,51.77,3.79,16.79,9,8,15,1,0,33.33,62.50,4.17,0.00,37.50,9,0.00,0,37.50,23,95.83,58.54,18.86,4.66,17.94,98.00
2008-10-01,0634917636517,Margareta,Israelsson,KVINNA,1954,S,14,1958,53.59,22.12,22.83,1.47,53.80,4886,2480,1274,65,1067,1820,493,910,0,417,1958,52.98,27.09,50.00,0.00,22.91,5,3,8,0,3,21.43,57.14,0.00,21.43,21.43,3,0.00,0,35.71,14,100.00,50.76,26.07,1.33,21.84,100.00
2013-10-01,0108109641223,Carl-Oskar,Bohlin,MAN,1986,M,11,1963,66.62,20.75,12.12,0.51,55.59,3839,2407,973,37,422,1177,979,99,0,99,1965,55.76,83.18,8.41,0.00,8.41,11,10,1,0,0,90.91,9.09,0.00,0.00,100.00,11,0.00,0,100.00,10,90.91,62.70,25.35,0.96,10.99,88.89
2008-03-01,0338278373318,Dan,Kihlström,MAN,1957,KD,61,1958,57.12,22.08,18.38,2.42,53.13,21289,11719,4974,720,3876,1464,1148,0,0,316,1952,54.17,78.42,0.00,0.00,21.58,61,44,0,0,17,72.13,0.00,0.00,27.87,72.13,44,0.00,0,100.00,61,100.00,55.05,23.36,3.38,18.21,100.00
2021-11-01,0170630324419,Per,Schöldberg,MAN,1962,C,18,1973,65.33,22.26,9.73,2.69,52.50,6282,3972,1515,234,561,558,368,87,60,43,1972,58.06,65.95,15.59,10.75,7.71,15,14,3,1,0,77.78,16.67,5.56,0.00,83.33,15,0.00,0,83.33,17,94.44,63.23,24.12,3.72,8.93,95.00
