year,is_election_year,total_ballots,active_politicians,attendance_rate,documents_produced,baseline_ballots,baseline_docs,baseline_attendance,ballot_deviation_from_baseline,doc_deviation_from_baseline,attendance_deviation_from_baseline,ballot_percent_change,doc_percent_change,q4_pattern,ballot_z_score,doc_z_score,attendance_z_score,activity_classification
2003,f,137,356,100.00000000000000000000,3703,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,46.8333333333333333,739.3333333333333333,0.00000000000000000000,51.94085027726432526700,24.94657518839275671900,NORMAL_Q4,1.3130655597725975,1.6941215512833136,0,ELEVATED_ACTIVITY
2002,t,87,360,100.00000000000000000000,3268,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-3.1666666666666667,304.3333333333333333,0.00000000000000000000,-3.51201478743068395400,10.26881115735012934300,NORMAL_ELECTION_Q4,-0.08878379229779128896,0.69735481349038111086,0,NORMAL_ACTIVITY
2011,f,97,359,100.00000000000000000000,2678,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,6.8333333333333333,-285.6666666666666667,0.00000000000000000000,7.57855822550831789000,-9.63896074682262962600,NORMAL_Q4,0.19158607811628646271,-0.65458168144715948756,0,NORMAL_ACTIVITY
2014,t,24,351,100.00000000000000000000,3131,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-66.1666666666666667,167.3333333333333333,0.00000000000000000000,-73.38262476894639557400,5.64615903722865819200,NORMAL_ELECTION_Q4,-1.8551139759064811,0.38343057653030812445,0,REDUCED_ACTIVITY
2010,t,92,351,100.00000000000000000000,3343,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,1.8333333333333333,379.3333333333333333,0.00000000000000000000,2.03327171903881696800,12.79946012821954785600,NORMAL_ELECTION_Q4,0.05140114290924758687,0.86921114759261084794,0,NORMAL_ACTIVITY
2013,f,118,355,100.00000000000000000000,2558,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,27.8333333333333333,-405.6666666666666667,0.00000000000000000000,30.86876155268022176300,-13.68799910021369924700,NORMAL_Q4,0.78036280598584974122,-0.92955181601072706690,0,NORMAL_ACTIVITY
2012,f,111,354,100.00000000000000000000,2478,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,20.8333333333333333,-485.6666666666666667,0.00000000000000000000,23.10536044362292047200,-16.38735800247441232800,NORMAL_Q4,0.58410389669599531505,-1.1128652390531055,0,NORMAL_ACTIVITY
2006,t,62,350,100.00000000000000000000,2509,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-28.1666666666666667,-454.6666666666666667,0.00000000000000000000,-31.23844731977818856500,-15.34135642784838600900,NORMAL_ELECTION_Q4,-0.78970846833298566814,-1.0418312876241838,0,NORMAL_ACTIVITY
2016,f,66,351,100.00000000000000000000,2995,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-24.1666666666666667,31.3333333333333333,0.00000000000000000000,-26.80221811460258782700,1.05724890338544595500,NORMAL_Q4,-0.67756052016735456747,0.07179775735826486786,0,NORMAL_ACTIVITY
2022,t,31,357,100.00000000000000000000,2538,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-59.1666666666666667,-425.6666666666666667,0.00000000000000000000,-65.61922365988909428300,-14.36283882577887751800,NORMAL_ELECTION_Q4,-1.6588550666166267,-0.97538017177132166345,0,REDUCED_ACTIVITY
2008,f,112,355,100.00000000000000000000,3498,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,21.8333333333333333,534.3333333333333333,0.00000000000000000000,24.21441774491682065600,18.02946800134967945000,NORMAL_Q4,0.61214088373740309022,1.2243809047372190,0,NORMAL_ACTIVITY
2024,f,59,354,100.00000000000000000000,2344,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-31.1666666666666667,-619.6666666666666667,0.00000000000000000000,-34.56561922365988911800,-20.90878416376110673800,NORMAL_Q4,-0.87381942945720899364,-1.4199152226490893,0,NORMAL_ACTIVITY
2021,f,47,363,100.00000000000000000000,2675,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-43.1666666666666667,-288.6666666666666667,0.00000000000000000000,-47.87430683918669133200,-9.74018670565740636700,NORMAL_Q4,-1.2102632739541023,-0.66145593481124867704,0,REDUCED_ACTIVITY
2025,f,48,359,100.00000000000000000000,3451,90.1666666666666667,2963.6666666666666667,100.00000000000000000000,-42.1666666666666667,487.3333333333333333,0.00000000000000000000,-46.76524953789279114700,16.44359464627151051500,NORMAL_Q4,-1.1822262869126945,1.1166842686998217,0,REDUCED_ACTIVITY
