embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_total_votes,avg_yes_votes,avg_no_votes,avg_abstain_votes,avg_absent_votes,percentage_approved,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,percentage_yes,percentage_no,percentage_abstain,percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage
2014-03-26,C,29,1963,349,213.14,74.00,28.59,33.28,100.00,61.07,21.20,9.54,8.19,56.45,10121,6181,2146,829,965,667,557,21,1,88,1963,56.52,83.51,3.15,0.15,13.19,61.07,21.20,8.19,9.53,28,96.55,29,100.00
2016-05-26,V,3,1969,349,226.67,74.33,0.00,48.00,100.00,64.95,21.30,13.75,0.00,54.44,1047,680,223,0,144,63,34,17,0,12,1971,38.10,53.97,26.98,0.00,19.05,64.95,21.30,0.00,13.75,2,66.67,3,100.00
2012-02-03,KD,6,1963,349,248.67,50.33,7.50,42.50,100.00,71.25,14.42,12.18,2.15,55.30,2094,1492,302,45,255,114,102,0,0,12,1961,57.89,89.47,0.00,0.00,10.53,71.25,14.42,2.15,12.18,6,100.00,6,100.00
2020-11-18,SD,9,1973,349,38.89,10.78,6.11,293.22,100.00,11.14,3.09,84.01,1.75,50.72,3141,350,97,55,2639,558,40,40,10,468,1975,70.97,7.17,7.17,1.79,83.87,11.14,3.09,1.75,84.02,4,44.44,9,100.00
2023-02-08,KD,9,1975,349,182.00,73.00,39.67,54.33,100.00,52.15,20.92,15.57,11.36,52.44,3141,1638,657,357,489,171,134,0,0,37,1970,73.68,78.36,0.00,0.00,21.64,52.15,20.92,11.37,15.57,9,100.00,9,100.00
2024-04-10,KD,13,1975,349,186.54,68.85,43.31,50.31,100.00,53.45,19.73,14.42,12.41,52.44,4537,2425,895,563,654,247,182,0,0,65,1970,68.42,73.68,0.00,0.00,26.32,53.45,19.73,12.41,14.41,13,100.00,13,100.00
2006-01-31,L,1,1954,349,250.00,18.00,2.00,79.00,100.00,71.63,5.16,22.64,0.57,53.87,349,250,18,2,79,48,38,0,0,10,1956,47.92,79.17,0.00,0.00,20.83,71.63,5.16,0.57,22.64,1,100.00,1,100.00
2016-01-20,KD,1,1969,349,200.00,96.00,19.00,34.00,100.00,57.31,27.51,9.74,5.44,55.30,349,200,96,19,34,16,14,0,0,2,1966,62.50,87.50,0.00,0.00,12.50,57.31,27.51,5.44,9.74,1,100.00,1,100.00
2025-10-22,L,14,1975,349,208.57,68.07,25.36,47.00,100.00,59.76,19.51,13.47,7.27,55.01,4886,2920,953,355,658,224,182,0,0,42,1974,50.00,81.25,0.00,0.00,18.75,59.76,19.50,7.27,13.47,14,100.00,14,100.00
2011-06-01,MP,19,1963,349,194.89,64.11,32.58,57.42,100.00,55.84,18.37,16.45,9.34,53.87,6631,3703,1218,619,1091,475,267,62,66,80,1965,44.00,56.21,13.05,13.89,16.84,55.84,18.37,9.33,16.45,13,68.42,19,100.00
