embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2017-01-01,-,501,1969,61.92,18.07,14.28,5.74,53.76,174849,109708,30905,10096,24140,1321,347,214,94,666,1963,17.43,26.27,16.20,7.12,50.42,224,44.71,499,99.60,62.74,17.68,5.77,13.81,99.30
2012-01-01,KD,465,1963,64.86,19.08,11.82,4.24,56.51,162285,104607,30446,8426,18806,8835,7705,119,27,984,1961,56.53,87.21,1.35,0.31,11.14,455,97.85,461,99.14,64.46,18.76,5.19,11.59,99.27
2005-01-01,KD,440,1954,55.60,21.04,18.54,4.83,54.29,153560,86589,31577,7379,28015,14520,4131,5805,1674,2910,1951,69.70,28.45,39.98,11.53,20.04,188,42.73,424,96.36,56.39,20.56,4.81,18.24,96.50
2016-01-01,SD,438,1969,63.73,17.39,12.65,6.23,54.60,152862,100402,25183,8735,18542,21024,9558,6434,2228,2804,1974,76.54,45.46,30.60,10.60,13.34,235,53.65,437,99.77,65.68,16.47,5.71,12.13,99.82
2014-01-01,KD,392,1964,62.40,18.46,13.26,5.89,56.43,136808,86681,25144,7444,17539,7373,6286,60,45,982,1962,59.65,85.26,0.81,0.61,13.32,385,98.21,390,99.49,63.36,18.38,5.44,12.82,96.92
2011-01-01,C,442,1963,61.64,21.95,12.26,4.16,54.66,154258,94036,34744,6520,18958,10166,7923,222,4,2017,1964,59.78,77.94,2.18,0.04,19.84,434,98.19,439,99.32,60.96,22.52,4.23,12.29,99.42
2013-01-01,L,489,1963,64.49,19.04,12.01,4.46,56.26,170661,110500,32538,7680,19943,11736,9423,76,23,2214,1960,55.17,80.29,0.65,0.20,18.87,482,98.57,485,99.18,64.75,19.07,4.50,11.69,97.67
2012-01-01,MP,465,1963,64.86,19.08,11.82,4.24,56.51,162285,104607,30446,8426,18806,11625,4892,4013,1100,1620,1964,49.98,42.08,34.52,9.46,13.94,240,51.61,461,99.14,64.46,18.76,5.19,11.59,99.27
2017-01-01,L,501,1969,61.92,18.07,14.28,5.74,53.76,174849,109708,30905,10096,24140,9519,5268,1800,856,1595,1969,56.42,55.34,18.91,8.99,16.76,341,68.06,499,99.60,62.74,17.68,5.77,13.81,99.30
2018-01-01,V,521,1971,64.16,16.53,13.66,5.65,54.02,181829,114394,29939,11378,26118,11284,6769,1676,1430,1409,1973,36.68,59.99,14.85,12.67,12.49,360,69.10,514,98.66,62.91,16.47,6.26,14.36,98.67
