election_cycle_id,cycle_year,calendar_year,semester,party,performance_score,active_members,party_violations,party_win_rate,party_participation_rate,documents_last_year,party_avg_rebel_rate,committees_active,rank_by_performance,rank_by_discipline,percent_rank_performance,ntile_party_tier,prev_cycle_performance,prev_cycle_documents,stddev_performance,cycle_party_count,change_performance_pct,change_documents_pct,performance_trend,discipline_score,competitiveness_index
1994-1998,1,1994,annual,EAP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,,,16.3318129904660479,120,,,baseline,14.00,30.83
2014-2018,2,2015,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2014-2018,3,2016,annual,L,75.82,19,127,78.06,85.24,203,0.00,0,9,1,0.06722689075630252,1,75.82,203,16.3318129904660479,120,0.00,0.00,stable,79.32,7.50
2022-2026,2,2023,annual,KrVP,35.00,0,0,0.00,0.00,0,0.00,15,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1994-1998,1,1994,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,,,16.3318129904660479,120,,,baseline,14.00,30.83
1998-2002,3,2000,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2030-2034,1,2030,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,10,1,0.3103448275862069,4,,,16.3318129904660479,30,,,baseline,14.00,33.33
2026-2030,4,2029,annual,KD,76.81,20,165,81.96,85.28,387,0.01,0,5,93,0.03361344537815126,1,76.81,387,16.3318129904660479,120,0.00,0.00,stable,80.90,4.17
2006-2010,2,2007,annual,C,67.45,29,171,44.53,85.32,394,0.06,0,17,105,0.13445378151260504,1,67.45,394,16.3318129904660479,120,0.00,0.00,stable,65.94,14.17
2010-2014,2,2011,annual,-,64.26,5,35,43.25,85.28,105,14.38,0,29,117,0.23529411764705882,1,64.26,105,16.3318129904660479,120,0.00,0.00,stable,64.26,24.17
2018-2022,4,2021,annual,SKÅ,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2014-2018,2,2015,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2018-2022,1,2018,annual,FI,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,,,16.3318129904660479,120,,,baseline,14.00,30.83
2026-2030,3,2028,annual,L,75.82,19,127,78.06,85.24,203,0.00,0,9,1,0.06722689075630252,1,75.82,203,16.3318129904660479,120,0.00,0.00,stable,79.32,7.50
2030-2034,1,2030,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,10,1,0.3103448275862069,3,,,16.3318129904660479,30,,,baseline,14.00,33.33
2006-2010,2,2007,annual,M,77.96,70,428,86.55,85.29,1304,0.00,0,1,1,0,1,77.96,1304,16.3318129904660479,120,0.00,0.00,stable,82.74,0.83
2022-2026,3,2024,annual,KD,76.81,20,165,81.96,85.28,387,0.01,16,5,93,0.03361344537815126,1,76.81,387,16.3318129904660479,120,0.00,0.00,stable,80.90,4.17
2010-2014,2,2011,annual,V,65.09,24,200,35.10,85.29,127,0.07,0,25,113,0.20168067226890757,1,65.09,127,16.3318129904660479,120,0.00,0.00,stable,62.15,20.83
1994-1998,1,1994,annual,DjuP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,,,16.3318129904660479,120,,,baseline,14.00,30.83
2010-2014,3,2012,annual,KD,76.81,20,165,81.96,85.28,387,0.01,0,5,93,0.03361344537815126,1,76.81,387,16.3318129904660479,120,0.00,0.00,stable,80.90,4.17
2002-2006,3,2004,annual,K,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
1994-1998,2,1995,annual,L,75.82,19,127,78.06,85.24,203,0.00,0,9,1,0.06722689075630252,1,75.82,203,16.3318129904660479,120,0.00,0.00,stable,79.32,7.50
1994-1998,2,1995,annual,V,65.09,24,200,35.10,85.29,127,0.07,0,25,113,0.20168067226890757,1,65.09,127,16.3318129904660479,120,0.00,0.00,stable,62.15,20.83
2018-2022,4,2021,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2026-2030,1,2026,annual,V,65.09,24,200,35.10,85.29,127,0.07,15,25,113,0.20168067226890757,1,,,16.3318129904660479,120,,,baseline,62.15,20.83
2010-2014,2,2011,annual,EAP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,4,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
2010-2014,1,2010,annual,KLP,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,2,,,16.3318129904660479,120,,,baseline,14.00,30.83
2018-2022,2,2019,annual,SKÅ,35.00,0,0,0.00,0.00,0,0.00,0,37,1,0.3025210084033613,3,35.00,0,16.3318129904660479,120,0.00,,stable,14.00,30.83
