hjid,header,number_value,parties,proposal_issue_number,proposal_type,against_proposal_list_agains_0
2678718,Subsidiaritetsprincipen i jakt- och rovdjurspolitiken,13,"""m"",""c"",""kd""",20,reservation,2678705
2300995,Kompetenskrav för utryckningsförare,13,"""s"",""mp""",13,reservation,2300982
2394602,Forum i diskrimineringsmål ,27,"""c""",35,reservation,2394575
2573906,Statens ansvar för grundläggande betaltjänster,1,"""s"",""v"",""mp""",1,reservation,2573905
2459615,Rennäringsfrågor,6,"""SD""",6,reservation,2459609
2657898,"",12,"""SD""",5,reservation,2657886
2382240,"",12,"""SD""",16,reservation,2382228
3358908,Klimatmärkning av livsmedel,8,"""s"",""v""",7,reservation,3358900
2357370,Inriktning för förbandsverksamheten ,6,"""v""",2,reservation,2357364
2431237,"",4,"""KD""",3,reservation,2431227
2673514,Miljöforskning,72,"""kd""",51,reservation,2673442
2446602,"",1,"""SD""",1,reservation,2446601
2297078,Sanktioner,20,"""MP"",""V""",18,reservation,2297058
2688236,"",19,"""SD""",13,reservation,2688217
2397591,Kortare handläggningstider,3,"""c""",3,reservation,2397588
2575534,"",3,"""KD""",2,reservation,2575531
2370392,Kärnämnen,22,"""m"",""c"",""fp"",""kd""",21,reservation,2370370
2318627,Följdlagstiftning i propositioner om rambeslut,1,"""m""",2,reservation,2318626
2346784,E-legitimationer m.m.,9,"""m"",""c"",""fp"",""kd""",10,reservation,2346775
3363570,"",8,"""C""",5,reservation,3363562
2506802,Fördelningen av lediga förskoleplatser,3,"""S""",3,reservation,2506799
2337666,"",4,"""C""",3,reservation,2337662
2671373,Jämställdhetsinsatser för att motverka människohandel,48,"""mp""",44,reservation,2671325
2312464,"",5,"""M"",""KD""",6,reservation,2312459
2695932,"",1,"""SD""",1,reservation,2695931
3359131,EU och lagstiftning om vilda djur,10,"""s"",""v""",13,reservation,3359121
2673452,Skuldavskrivning m.m.,10,"""m""",8,reservation,2673442
2529291,Ämnesråden inom Vetenskapsrådet,9,"""fp""",7,reservation,2529282
2298851,Mål och prioriteringar,1,"""m"",""c"",""fp"",""kd""",1,reservation,2298850
