year,committee,doc_count
2002,KUD t.o.m. -04,3
2002,U t.o.m. -04,2
2002,Socialdepartementet,1
2002,SB,1
2002,Kulturdepartementet,1
2002,Miljödepartementet,1
2003,SoU,480
2003,TU,381
2003,UbU,323
2003,JuU,317
2003,MJU,308
2003,SkU,303
2003,KU,264
2003,NU,240
2003,SfU,225
2003,KrU,199
2003,AU,186
2003,UU,170
2003,LU,166
2003,FiU,147
2003,BoU,104
2003,FöU,85
2003,FI,56
2003,JU,41
2003,N,19
2003,S,19
2003,UD,17
2003,Finansdepartementet,12
2003,JO,11
2003,M t.o.m. -04,8
2003,Utrikesdepartementet,4
2003,Fö,4
2003,Justitiedepartementet,2
2003,Näringsdepartementet,2
2003,KUD t.o.m. -04,2
2003,Statsrådsberedningen,1
2003,U t.o.m. -04,1
2004,SoU,495
2004,MJU,388
2004,JuU,353
2004,TU,334
2004,SkU,318
2004,UbU,314
2004,KU,287
2004,NU,269
2004,SfU,243
2004,LU,215
2004,KrU,214
2004,AU,193
2004,UU,153
2004,BoU,133
2004,FiU,107
2004,FöU,97
2004,FI,57
2004,JU,46
2004,S,28
2004,N,26
2004,UD,18
2004,JO,9
2004,M t.o.m. -04,7
2004,U t.o.m. -04,4
2004,KUD t.o.m. -04,3
2004,Näringsdepartementet,2
2004,Fö,1
2004,MjU,1
2004,SKU,1
2004,SB,1
2004,Utrikesdepartementet,1
2005,SoU,557
2005,MJU,445
2005,TU,425
2005,JuU,406
2005,UbU,403
2005,SkU,348
2005,NU,317
2005,KU,302
2005,SfU,272
2005,KrU,237
2005,LU,231
2005,AU,227
2005,UU,212
2005,FiU,163
2005,BoU,160
2005,FöU,70
2005,JU,44
2005,FI,40
2005,S,25
2005,UD,20
2005,N,17
2005,M  t.o.m. 1 jan-07,13
2005,U t.o.m. 1 jan-07,8
2005,JO,4
2005,Försvarsdepartementet,2
2005,Fö,1
2005,UFöU,1
2005,Utrikesdepartementet,1
2005,Miljö- och samhällsbyggnadsdepartementet,1
2005,JUU,1
2005,SB,1
2005,Justitiedepartementet,1
2006,KU,360
2006,MJU,357
2006,SoU,355
2006,TU,334
2006,JuU,283
2006,NU,260
2006,UbU,248
2006,AU,222
2006,UU,191
2006,KrU,187
2006,SkU,185
2006,CU,181
2006,LU,158
2006,SfU,140
2006,SKU,116
2006,FIU,115
2006,JUU,110
2006,FiU,109
2006,SOU,77
2006,UBU,68
2006,SFU,63
2006,FöU,63
2006,KRU,47
2006,JU,47
2006,BOU,47
2006,S,27
2006,FI,27
2006,FÖU,27
2006,BoU,19
2006,N,18
2006,M  t.o.m. 1 jan-07,17
2006,JO,13
2006,UD,13
2006,U t.o.m. 1 jan-07,11
2006,kamm,8
2006,UFÖU,7
2006,KUU,6
2006,Fö,4
2006,UFöU,4
2006,SB,2
2006,Miljö- och samhällsbyggnadsdepartementet,1
2006,Finansdepartementet,1
2006,Näringsdepartementet,1
2006,Utrikesdepartementet,1
2006,USOU,1
2006,UMJU,1
2006,U,1
2007,SoU,429
2007,TU,380
2007,UbU,374
2007,MJU,292
2007,JuU,281
2007,SkU,266
2007,CU,266
2007,KU,251
2007,AU,248
2007,NU,235
2007,UU,202
2007,SfU,184
2007,KrU,171
2007,FiU,118
2007,FöU,89
2007,FI,47
2007,JU,23
2007,S,12
2007,N,12
2007,U,8
2007,UD,8
2007,M,7
2007,Fö,5
2007,UFöU,5
2007,A,4
2007,JO,4
2007,SB,3
2007,Ku,2
2007,KUU,1
2007,Integrations- och jämställdhetsdepartementet,1
2007,Utrikesdepartementet,1
2007,Näringsdepartementet,1
2007,IJ,1
2008,SoU,433
2008,UbU,429
2008,TU,390
2008,SkU,365
2008,JuU,343
2008,MJU,343
2008,CU,303
2008,NU,293
2008,AU,238
2008,SfU,227
2008,KU,218
2008,UU,207
2008,KrU,184
2008,FiU,161
2008,FöU,120
2008,FI,82
2008,JU,39
2008,N,23
2008,S,22
2008,UD,15
2008,A,12
2008,M,8
2008,U,6
2008,JO,6
2008,IJ,4
2008,UFöU,4
2008,SB,3
2008,Fö,2
2008,Ku,1
2009,SoU,504
2009,SkU,416
2009,UbU,409
2009,TU,366
2009,MJU,340
2009,CU,336
2009,NU,328
2009,JuU,278
2009,KU,274
2009,AU,268
2009,SfU,236
2009,UU,184
2009,FiU,179
2009,KrU,166
2009,FöU,82
2009,FI,71
2009,JU,37
2009,N,31
2009,S,18
2009,M,13
2009,UD,12
2009,U,9
2009,Ku,7
2009,IJ,7
2009,JO,6
2009,A,6
2009,UFöU,3
2009,Fö,3
2009,SB,3
2010,SoU,440
2010,TU,357
2010,UbU,322
2010,SkU,290
2010,MJU,278
2010,NU,270
2010,JuU,269
2010,KU,260
2010,AU,242
2010,CU,220
2010,SfU,213
2010,UU,155
2010,KrU,152
2010,FiU,112
2010,FI,94
2010,FöU,62
2010,N,29
2010,JU,27
2010,S,22
2010,UD,12
2010,U,11
2010,M,10
2010,Ju,10
2010,Fö,6
2010,IJ,6
2010,Ku,4
2010,SB,4
2010,JO,3
2010,A,3
2010,UFöU,1
2011,SoU,481
2011,UbU,326
2011,MJU,292
2011,TU,288
2011,SkU,245
2011,JuU,242
2011,NU,241
2011,CU,235
2011,KU,206
2011,AU,204
2011,SfU,176
2011,UU,162
2011,FiU,142
2011,KrU,135
2011,FI,96
2011,FöU,48
2011,N,25
2011,Ju,25
2011,UD,17
2011,S,15
2011,U,11
2011,M,10
2011,L,6
2011,A,5
2011,Fö,5
2011,UFöU,4
2011,SB,3
2011,Ku,1
2012,SoU,336
2012,kamm,312
2012,MJU,273
2012,TU,264
2012,UbU,253
2012,CU,238
2012,SkU,221
2012,JuU,217
2012,AU,205
2012,NU,203
2012,KU,189
2012,FiU,161
2012,SfU,150
2012,UU,148
2012,KrU,124
2012,FI,106
2012,FöU,73
2012,N,25
2012,Ju,22
2012,S,21
2012,U,12
2012,M,11
2012,A,11
2012,UD,9
2012,Fö,5
2012,SB,4
2012,L,4
2012,SKU,3
2012,JUU,2
2012,SFU,1
2012,UFöU,1
2012,KRU,1
2012,Ku,1
2012,BOU,1
2012,Kru,1
