hjid,activity_name,code,created_date,order_number,process,status,document_activities_document_0
1698093,Inlämning,INL,2009-06-10,13,hantering,inträffat,1698092
1209219,Bordläggning 1,B1,2007-12-12,1,avgorande,inträffat,1209213
992860,Under beredning,UBE,2014-04-01,30,beredning,planerat,992835
1901314,Granskad,Granskad,2016-09-29,0,behandling,inträffat,1901312
1062795,Inlämning,INL,2003-10-07,13,hantering,inträffat,1062794
130981,Inlämnad,INL,2015-10-05,0,behandling,inträffat,130980
993974,Inlämning,INL,2009-10-05,13,hantering,inträffat,993973
418334,Bordlagd,B,2017-02-28,0,behandling,inträffat,418333
1311504,Bordläggning,B,2003-10-15,1,hanvisning,inträffat,1311502
441800,Trycklov,TRY,2007-05-25,60,beredning,inträffat,441796
627286,Hänvisningsförslag,HFÖR,2001-10-05,6,hantering,inträffat,627284
1274519,Granskad,Granskad,2014-11-10,0,behandling,inträffat,1274517
1610320,Bordlagd,B,2019-09-10,0,behandling,inträffat,1610318
946466,Bordlagd,B,2018-03-20,0,behandling,inträffat,946465
1008988,Avgörande,AVG,2003-05-08,5,avgorande,inträffat,1008979
2212182,Inlämning,INL,2011-10-05,13,hantering,inträffat,2212181
1757105,Inlämning,INL,2005-10-05,13,hantering,inträffat,1757104
1745633,Granskad,Granskad,2014-11-10,0,behandling,inträffat,1745631
606192,Hänvisningsförslag,HFÖR,2001-10-05,6,hantering,inträffat,606190
550101,Trycklov,TRY,2008-04-04,60,beredning,inträffat,550097
96893,Registrering,REG,2005-04-08,2,hantering,inträffat,96890
302829,Inlämning,INL,2009-10-06,13,hantering,inträffat,302828
1677987,Inlämnad,INL,2016-10-05,0,behandling,inträffat,1677986
88840,Registrering,REG,2005-04-08,2,hantering,inträffat,88837
1684970,Hänvisad,HÄN,2014-11-12,0,behandling,inträffat,1684967
1417691,Hänvisad,HÄN,2022-12-01,0,behandling,inträffat,1417688
515767,Bordläggning,B,2006-11-07,1,hanvisning,inträffat,515764
929393,Numrering,NUM,2001-10-05,7,hantering,inträffat,929389
520304,Hänvisning,HÄN,2001-10-11,2,hanvisning,inträffat,520296
1296017,Inlämning,INL,2001-10-05,13,hantering,inträffat,1296014
