year,quarter,is_election_year,election_cycle,total_ballots,active_politicians,attendance_rate,documents_produced,q_baseline_ballots,q_stddev_ballots,ballot_z_score,q_baseline_docs,q_stddev_docs,doc_z_score,q_baseline_attendance,q_stddev_attendance,attendance_z_score,base_activity_classification,prev_quarter_ballots,next_quarter_ballots,prev_quarter_attendance,prev_quarter_documents,cross_year_quarter_avg_ballots,cross_year_quarter_stddev_ballots,cross_year_quarter_avg_docs,activity_quartile_cycle,qoq_ballot_change_pct,deviation_from_typical_quarter,cross_year_z_score,quarter_label,parliamentary_period,seasonal_pattern_classification
2006,1,t,2006-2010,207,377,100.00000000000000000000,1591,141.4444444444444444,34.7414352072771730,1.8869558832107158,251.1111111111111111,122.181104194643,10.9664165970734121,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,,167,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,4,,55.8333333333333333,1.45,Q1_WINTER,Winter Session (Jan-Mar),UNUSUALLY_HIGH_ACTIVITY
2011,4,f,2010-2014,101,359,100.00000000000000000000,2678,93.2222222222222222,36.7992256241343713,0.21135710455485256086,2963.6666666666666667,436.411031294231,-0.65458168144715948756,100.00000000000000000000,0,0,NORMAL_ACTIVITY,1,,100.00000000000000000000,751,84.6250000000000000,36.8937805282498349,2966.7916666666666667,2,10000.00,16.3750000000000000,0.44,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2016,1,f,2014-2018,125,351,100.00000000000000000000,269,141.4444444444444444,34.7414352072771730,-0.47333808595794226892,251.1111111111111111,122.181104194643,0.14641289262201006337,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,235,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,2,,-26.1666666666666667,-0.68,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2003,3,f,2002-2006,9,351,100.00000000000000000000,39,5.4000000000000000,4.2054386555642784,0.85603436284507122347,848.6666666666666667,536.116813852390,-1.5102430025438330,100.00000000000000000000,0,0,NORMAL_ACTIVITY,150,143,100.00000000000000000000,201,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-94.00,3.6000000000000000,0.89,Q3_SUMMER,Summer Recess/Election (Jul-Sep),NORMAL_SEASONAL_PATTERN
2013,4,f,2010-2014,119,355,100.00000000000000000000,2558,93.2222222222222222,36.7992256241343713,0.70049783223893991459,2963.6666666666666667,436.411031294231,-0.92955181601072706690,100.00000000000000000000,0,0,NORMAL_ACTIVITY,7,,100.00000000000000000000,150,84.6250000000000000,36.8937805282498349,2966.7916666666666667,3,1600.00,34.3750000000000000,0.93,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2019,2,f,2018-2022,277,358,100.00000000000000000000,186,199.8333333333333333,67.9283792378587003,1.1360004100268473,224.5000000000000000,111.066090552374,-0.34664045352208604918,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,129,55,100.00000000000000000000,264,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,114.73,68.8695652173913043,0.87,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2022,1,t,2022-2026,225,356,100.00000000000000000000,479,141.4444444444444444,34.7414352072771730,2.4050691935160310,251.1111111111111111,122.181104194643,1.8651729364456065,100.00000000000000000000,0,0,ANOMALY_DETECTED,,428,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,73.8333333333333333,1.91,Q1_WINTER,Winter Session (Jan-Mar),UNUSUALLY_HIGH_ACTIVITY
2002,4,t,2002-2006,89,360,100.00000000000000000000,3268,93.2222222222222222,36.7992256241343713,-0.11473671390120567496,2963.6666666666666667,436.411031294231,0.69735481349038111086,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,,,,84.6250000000000000,36.8937805282498349,2966.7916666666666667,1,,4.3750000000000000,0.12,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2025,1,f,2022-2026,147,359,100.00000000000000000000,246,141.4444444444444444,34.7414352072771730,0.15991151552633184932,251.1111111111111111,122.181104194643,-0.04183225503486001799,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,254,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,-4.1666666666666667,-0.11,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2019,4,f,2018-2022,55,357,100.00000000000000000000,2796,93.2222222222222222,36.7992256241343713,-1.0386691995267040,2963.6666666666666667,436.411031294231,-0.38419438245965136787,100.00000000000000000000,0,0,REDUCED_ACTIVITY,277,,100.00000000000000000000,186,84.6250000000000000,36.8937805282498349,2966.7916666666666667,2,-80.14,-29.6250000000000000,-0.80,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2021,2,f,2018-2022,346,355,100.00000000000000000000,279,199.8333333333333333,67.9283792378587003,2.1517761546296871,224.5000000000000000,111.066090552374,0.49069882381697895274,100.00000000000000000000,0,0,ANOMALY_DETECTED,153,8,100.00000000000000000000,331,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,126.14,137.8695652173913043,1.73,Q2_SPRING,Spring Session (Apr-Jun),UNUSUALLY_HIGH_ACTIVITY
2012,1,f,2010-2014,147,360,100.00000000000000000000,207,141.4444444444444444,34.7414352072771730,0.15991151552633184932,251.1111111111111111,122.181104194643,-0.36103054888781363420,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,193,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,-4.1666666666666667,-0.11,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
