year,quarter,is_election_year,total_ballots,active_politicians,attendance_rate,documents_produced,q_baseline_ballots,q_stddev_ballots,ballot_z_score,q_baseline_docs,q_stddev_docs,doc_z_score,q_baseline_attendance,q_stddev_attendance,attendance_z_score,activity_classification,quarter_label,parliamentary_period,anomaly_type,anomaly_direction,max_z_score,anomaly_severity
2010,2,t,112,351,100.00000000000000000000,292,199.8333333333333333,67.9283792378587003,-1.2930285444582042,224.5000000000000000,111.066090552374,0.60774624968157943688,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q2_APR_JUN,Spring Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.2930285444582042,LOW
2004,2,f,129,354,100.00000000000000000000,231,199.8333333333333333,67.9283792378587003,-1.0427649552082292,224.5000000000000000,111.066090552374,0.05852371293230024207,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q2_APR_JUN,Spring Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.0427649552082292,LOW
2014,1,t,168,357,100.00000000000000000000,1353,141.4444444444444444,34.7414352072771730,0.76437704421586623491,251.1111111111111111,122.181104194643,9.0184885474066695,100.00000000000000000000,0,0,NORMAL_ACTIVITY,Q1_JAN_MAR,Winter Session,DOCUMENT_ANOMALY,UNUSUALLY_HIGH,9.0184885474066695,CRITICAL
2021,4,f,50,363,100.00000000000000000000,2675,93.1666666666666667,36.7203261551579423,-1.1755523762035876,2963.6666666666666667,436.411031294231,-0.66145593481124867704,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q4_OCT_DEC,Autumn Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.1755523762035876,LOW
2005,2,f,119,353,100.00000000000000000000,212,199.8333333333333333,67.9283792378587003,-1.1899788312376263,224.5000000000000000,111.066090552374,-0.11254560179288508090,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q2_APR_JUN,Spring Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.1899788312376263,LOW
2022,4,t,31,357,100.00000000000000000000,2538,93.1666666666666667,36.7203261551579423,-1.6929769742236995,2963.6666666666666667,436.411031294231,-0.97538017177132166345,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q4_OCT_DEC,Autumn Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.6929769742236995,MODERATE
2025,4,f,49,359,100.00000000000000000000,3451,93.1666666666666667,36.7203261551579423,-1.2027852497835935,2963.6666666666666667,436.411031294231,1.1166842686998217,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q4_OCT_DEC,Autumn Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.2027852497835935,LOW
2019,2,f,277,358,100.00000000000000000000,186,199.8333333333333333,67.9283792378587003,1.1360004100268473,224.5000000000000000,111.066090552374,-0.34664045352208604918,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,Q2_APR_JUN,Spring Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.1360004100268473,LOW
2018,4,t,49,353,100.00000000000000000000,3068,93.1666666666666667,36.7203261551579423,-1.2027852497835935,2963.6666666666666667,436.411031294231,0.23907125588443514529,100.00000000000000000000,0,0,REDUCED_ACTIVITY,Q4_OCT_DEC,Autumn Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.2027852497835935,LOW
2003,1,f,199,368,100.00000000000000000000,154,141.4444444444444444,34.7414352072771730,1.6566833008527979,251.1111111111111111,122.181104194643,-0.79481284566234034341,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,Q1_JAN_MAR,Winter Session,NO_ANOMALY,WITHIN_NORMAL_RANGE,1.6566833008527979,MODERATE
