vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2009-11-01,44,15356,7725,4769,218,2644,44,1959,48.84,31.47,18.80,0.89,53.90,100.00,50.31,31.06,1.42,17.22,100.00
2011-10-01,6,2094,1301,464,83,246,6,1963,62.13,22.16,11.75,3.97,55.01,100.00,62.13,22.16,3.96,11.75,100.00
2015-05-01,21,7329,5052,1285,168,824,21,1969,70.02,17.13,11.52,1.34,55.01,100.00,68.93,17.53,2.29,11.24,100.00
2004-09-01,17,5933,3369,1241,190,1133,17,1954,53.77,25.36,17.94,2.94,53.58,100.00,56.78,20.92,3.20,19.10,100.00
2010-11-01,26,9074,5514,2478,131,951,26,1963,62.53,25.30,11.02,1.15,54.71,100.00,60.77,27.31,1.44,10.48,100.00
2008-10-01,13,4537,2344,1143,65,985,13,1958,53.59,22.12,22.83,1.47,53.80,100.00,51.66,25.19,1.43,21.71,100.00
2003-09-01,9,3141,1703,881,0,557,8,1954,54.04,27.44,18.53,0.00,55.30,83.34,54.22,28.05,0.00,17.73,88.89
2009-06-01,22,7678,4005,2539,151,983,22,1958,48.61,35.65,12.98,2.75,52.69,100.00,52.16,33.07,1.97,12.80,100.00
2007-04-01,30,10470,5749,2428,115,2178,30,1958,55.12,21.62,21.88,1.38,51.49,100.00,54.91,23.19,1.10,20.80,100.00
2008-12-01,55,19195,9532,5733,659,3271,55,1958,49.95,29.71,16.89,3.45,53.24,100.00,49.66,29.87,3.43,17.04,100.00
2017-02-01,15,5235,3035,855,544,801,15,1969,65.73,12.89,15.09,6.29,54.06,100.00,57.98,16.33,10.39,15.30,100.00
2008-02-01,34,11866,6719,2994,186,1967,34,1958,58.99,23.44,16.69,0.88,52.62,100.00,56.62,25.23,1.57,16.58,100.00
2008-03-01,57,19893,11026,4580,686,3601,57,1958,57.40,21.74,18.40,2.47,53.13,100.00,55.43,23.02,3.45,18.10,100.00
2008-09-01,1,349,252,17,0,80,1,1958,72.21,4.87,22.92,0.00,53.87,100.00,72.21,4.87,0.00,22.92,100.00
2003-10-01,23,8027,4748,1465,390,1424,22,1954,58.37,19.73,18.30,3.60,55.24,98.00,59.15,18.25,4.86,17.74,95.65
2004-01-01,27,9423,5671,1708,468,1576,27,1954,59.94,19.01,17.50,3.56,54.98,100.00,60.18,18.13,4.97,16.73,100.00
2021-09-01,7,2443,1631,499,20,293,7,1973,64.75,22.86,11.83,0.58,52.58,100.00,66.76,20.43,0.82,11.99,100.00
2024-10-01,15,5235,3521,698,138,878,15,1975,67.33,13.10,16.84,2.74,54.44,100.00,67.26,13.33,2.64,16.77,100.00
2018-02-01,27,9423,6028,1615,238,1542,26,1969,63.62,17.60,15.81,2.97,54.44,97.22,63.97,17.14,2.53,16.36,96.30
2019-12-01,22,7678,4741,1221,1142,574,22,1973,63.37,16.96,8.18,11.49,52.53,100.00,61.75,15.90,14.87,7.48,100.00
2006-11-01,16,5584,3299,1111,262,912,16,1958,56.76,22.51,16.49,4.25,52.84,100.00,59.08,19.90,4.69,16.33,100.00
2013-04-01,65,22685,14836,4595,747,2507,64,1963,66.95,19.93,10.74,2.38,56.42,98.61,65.40,20.26,3.29,11.05,98.46
2020-04-01,93,32457,3550,1005,556,27346,91,1973,11.04,2.93,84.25,1.77,52.44,98.65,10.94,3.10,1.71,84.25,97.85
2007-02-01,45,15705,9205,3605,335,2560,45,1958,55.39,25.58,16.80,2.23,52.05,100.00,58.61,22.95,2.13,16.30,100.00
2020-12-01,41,14309,1416,477,372,12044,41,1973,9.74,3.17,84.19,2.91,50.80,100.00,9.90,3.33,2.60,84.17,100.00
2014-04-01,52,18148,11414,3146,822,2766,52,1963,61.89,17.61,15.66,4.85,56.79,100.00,62.89,17.34,4.53,15.24,100.00
2004-12-01,17,5933,3232,1220,434,1047,17,1954,53.34,20.51,17.38,8.77,53.59,100.00,54.47,20.56,7.32,17.65,100.00
2008-04-01,57,19893,10898,5008,428,3559,57,1958,58.03,22.31,17.82,1.84,53.30,100.00,54.78,25.17,2.15,17.89,100.00
2017-03-01,111,38739,24840,7048,1809,5042,111,1969,62.76,18.62,14.44,4.18,53.46,100.00,64.12,18.19,4.67,13.02,100.00
2003-02-01,66,23034,15673,4036,676,2649,65,1954,68.44,17.11,11.46,2.99,53.88,98.33,68.04,17.52,2.93,11.50,98.48
2005-02-01,49,17101,10252,2885,1029,2935,46,1954,59.65,17.31,17.40,5.65,54.03,93.66,59.95,16.87,6.02,17.16,93.88
2012-11-01,46,16054,10696,2697,710,1951,46,1963,67.87,15.67,12.34,4.12,56.86,100.00,66.63,16.80,4.42,12.15,100.00
2010-04-01,24,8376,4452,2328,77,1519,24,1959,55.08,26.81,17.50,0.61,53.01,100.00,53.15,27.79,0.92,18.14,100.00
2025-06-01,52,18148,10696,2893,1955,2604,52,1975,54.93,18.58,14.52,11.97,55.01,100.00,58.94,15.94,10.77,14.35,100.00
2014-01-01,24,8376,5039,2016,182,1139,24,1963,60.43,23.59,14.01,1.99,56.73,100.00,60.16,24.07,2.17,13.60,100.00
2024-05-01,85,29665,17718,5006,2395,4546,85,1975,57.48,18.09,15.95,8.48,52.72,100.00,59.73,16.88,8.07,15.32,100.00
2016-04-01,116,40484,27846,5667,1959,5012,116,1969,68.27,13.40,13.50,4.84,54.44,100.00,68.78,14.00,4.84,12.38,100.00
2017-04-01,90,31410,19022,5122,2034,5232,90,1969,60.01,16.20,16.75,7.04,53.68,100.00,60.56,16.31,6.48,16.66,100.00
2015-01-01,6,2094,1551,300,49,194,6,1969,75.50,12.93,9.82,1.76,55.16,100.00,74.07,14.33,2.34,9.26,100.00
2021-03-01,86,30014,3304,983,506,25221,83,1973,11.04,3.17,84.03,1.77,52.72,96.11,11.01,3.28,1.69,84.03,96.51
2025-12-01,13,4537,3092,664,141,640,13,1975,67.93,12.27,14.00,5.81,18.53,100.00,68.15,14.64,3.11,14.11,100.00
2008-06-01,17,5933,3054,1673,222,984,17,1958,52.38,26.56,17.34,3.73,53.30,100.00,51.47,28.20,3.74,16.59,100.00
2008-05-01,85,29665,15125,8323,1018,5199,85,1958,50.03,29.01,17.29,3.68,53.30,100.00,50.99,28.06,3.43,17.53,100.00
2008-01-01,7,2443,1080,877,52,434,7,1958,43.17,35.71,17.38,3.75,53.01,100.00,44.21,35.90,2.13,17.77,100.00
