committee_code,committee_name,year,quarter,total_documents,active_members,productivity_level,productivity_assessment
KrU,Kulturutskottet,2023,4,182,110,UNDERPERFORMING,Committee productivity concerns - investigation recommended
FöU,Försvarsutskottet,2023,4,115,81,UNDERPERFORMING,Committee productivity concerns - investigation recommended
SoU,Socialutskottet,2023,3,5,0,HIGHLY_PRODUCTIVE,Above-average committee performance
SfU,Socialförsäkringsutskottet,2023,3,4,0,HIGHLY_PRODUCTIVE,Above-average committee performance
NU,Näringsutskottet,2023,3,3,0,ABOVE_AVERAGE,Above-average committee performance
FiU,Finansutskottet,2023,3,3,0,ABOVE_AVERAGE,Above-average committee performance
MJU,Miljö- och jordbruksutskottet,2023,3,2,0,AVERAGE,Standard committee operations
AU,Arbetsmarknadsutskottet,2023,3,2,0,AVERAGE,Standard committee operations
UbU,Utbildningsutskottet,2023,3,2,0,AVERAGE,Standard committee operations
JuU,Justitieutskottet,2023,3,1,0,UNDERPERFORMING,Committee productivity concerns - investigation recommended
KrU,Kulturutskottet,2023,3,1,0,UNDERPERFORMING,Committee productivity concerns - investigation recommended
KU,Konstitutionsutskottet,2023,3,1,0,UNDERPERFORMING,Committee productivity concerns - investigation recommended
CU,Civilutskottet,2023,3,1,0,UNDERPERFORMING,Committee productivity concerns - investigation recommended
TU,Trafikutskottet,2023,3,1,0,UNDERPERFORMING,Committee productivity concerns - investigation recommended
JuU,Justitieutskottet,2023,2,19,14,HIGHLY_PRODUCTIVE,Exceptional committee productivity and engagement
FiU,Finansutskottet,2023,2,18,18,HIGHLY_PRODUCTIVE,Exceptional committee productivity and engagement
UU,Utrikesutskottet,2023,2,7,6,AVERAGE,Significant productivity decline detected
KU,Konstitutionsutskottet,2023,2,4,4,BELOW_AVERAGE,Standard committee operations
TU,Trafikutskottet,2023,2,4,4,BELOW_AVERAGE,Standard committee operations
UbU,Utbildningsutskottet,2023,2,1,0,UNDERPERFORMING,Committee productivity concerns - investigation recommended
