embedded_id_detail,embedded_id_org_code,total_assignments,id,committee_report_url_xml,document_status_url_www,document_status_url_xml,document_type,document_url_html,document_url_text,final_number,hangar_id,label,made_public_date,number_value,org,rm,status,sub_title,sub_type,temp_label,title
Näringsutskottet,NU,1040,HB022056,,,https://data.riksdagen.se/dokumentstatus/HB022056,mot,https://data.riksdagen.se/dokument/HB022056,https://data.riksdagen.se/dokument/HB022056/text,0,5186889,2056,2023-10-05,2056,NU,2023/24,Klar,av Isak From och Monica Haider (båda S),Enskild motion,S1407,Inhemsk biodrivmedelsproduktion
Socialutskottet,SoU,1018,GT02So400,,,https://data.riksdagen.se/dokumentstatus/GT02So400,mot,https://data.riksdagen.se/dokument/GT02So400,https://data.riksdagen.se/dokument/GT02So400/text,0,2218175,So400,2005-09-30,400,SoU,2005/06,Trycklov,av Ingrid Burman m.fl. (v),Kommittémotion,v414,Driftsformer i vård och omsorg
Miljö- och jordbruksutskottet,MJU,991,GV02MJ246,,,https://data.riksdagen.se/dokumentstatus/GV02MJ246,mot,https://data.riksdagen.se/dokument/GV02MJ246,https://data.riksdagen.se/dokument/GV02MJ246/text,0,2211430,MJ246,2007-10-02,246,MJU,2007/08,Ank T,av Patrik Forslund och Tomas Tobé (m),Enskild motion,m1037,Strandskydd
Civilutskottet,CU,725,H3022046,,,https://data.riksdagen.se/dokumentstatus/H3022046,mot,https://data.riksdagen.se/dokument/H3022046,https://data.riksdagen.se/dokument/H3022046/text,0,4387502,2046,2015-10-06,2046,CU,2015/16,Klar,av Sara-Lena Bjälkö och Mikael Eskilandersson (båda SD),Enskild motion,SD201,Frivilligt register för testamente
Trafikutskottet,TU,996,GZ02T9,,,https://data.riksdagen.se/dokumentstatus/GZ02T9,mot,https://data.riksdagen.se/dokument/GZ02T9,https://data.riksdagen.se/dokument/GZ02T9/text,0,2785609,T9,2012-04-11,9,TU,2011/12,Ank T,av Anders Ygeman m.fl. (S),Kommittémotion,S27012,med anledning av prop. 2011/12:118 Planeringssystem för transportinfrastruktur
Utrikesutskottet,UU,1097,GU02U272,,,https://data.riksdagen.se/dokumentstatus/GU02U272,mot,https://data.riksdagen.se/dokument/GU02U272,https://data.riksdagen.se/dokument/GU02U272/text,0,2214451,U272,2006-11-02,272,UU,2006/07,Trycklov,av Fredrik Malm (fp),Enskild motion,fp1208,Kurdernas rättigheter
Justitieutskottet,JuU,1010,GP02Ju201,,,https://data.riksdagen.se/dokumentstatus/GP02Ju201,mot,https://data.riksdagen.se/dokument/GP02Ju201,https://data.riksdagen.se/dokument/GP02Ju201/text,0,2246643,Ju201,2001-10-05,201,JuU,2001/02,"",av Rolf Gunnarsson (m),Enskild motion,m1009,Registrering av anonyma demonstranter
Näringsutskottet,NU,1040,H5021994,,,https://data.riksdagen.se/dokumentstatus/H5021994,mot,https://data.riksdagen.se/dokument/H5021994,https://data.riksdagen.se/dokument/H5021994/text,0,4771334,1994,2017-10-03,1994,NU,2017/18,Klar,av Sten Bergheden (M),Enskild motion,M1288,Premiera skötsamma företagare
Konstitutionsutskottet,KU,1007,GT02K12,,,https://data.riksdagen.se/dokumentstatus/GT02K12,mot,https://data.riksdagen.se/dokument/GT02K12,https://data.riksdagen.se/dokument/GT02K12/text,0,2215758,K12,2006-02-01,12,KU,2005/06,Trycklov,av Birgitta Sellén (c),Enskild motion,c817,med anledning av skr. 2005/06:66 Digital distribution av ljudradio
Civilutskottet,CU,725,GW02C309,,,https://data.riksdagen.se/dokumentstatus/GW02C309,mot,https://data.riksdagen.se/dokument/GW02C309,https://data.riksdagen.se/dokument/GW02C309/text,0,2219780,C309,2008-10-10,309,CU,2008/09,Ank T,av Catharina Bråkenhielm och Jan-Olof Larsson (s),Enskild motion,s68052,Arvsrätt för särkullbarn
Socialutskottet,SoU,1018,H7022453,,,https://data.riksdagen.se/dokumentstatus/H7022453,mot,https://data.riksdagen.se/dokument/H7022453,https://data.riksdagen.se/dokument/H7022453/text,0,5042050,2453,2019-10-03,2453,SoU,2019/20,Klar,av Rasmus Ling (MP),Enskild motion,2201,Försöksverksamhet med injektionsrum för heroinister
Justitieutskottet,JuU,1010,GO02Ju223,,,https://data.riksdagen.se/dokumentstatus/GO02Ju223,mot,https://data.riksdagen.se/dokument/GO02Ju223,https://data.riksdagen.se/dokument/GO02Ju223/text,0,2250568,Ju223,2000-10-05,223,JuU,2000/01,"",av Anita Johansson m.fl. (s),Enskild motion,s34032,Utveckling av polisens organisation
Skatteutskottet,SkU,1064,GQ02Sk250,,,https://data.riksdagen.se/dokumentstatus/GQ02Sk250,mot,https://data.riksdagen.se/dokument/GQ02Sk250,https://data.riksdagen.se/dokument/GQ02Sk250/text,0,2244455,Sk250,2002-10-23,250,SkU,2002/03,"",av Lilian Virgin och Christer Engelhardt (s),Enskild motion,s11029,Moms på fastighetsskötsel
Trafikutskottet,TU,996,HC023234,,,https://data.riksdagen.se/dokumentstatus/HC023234,mot,https://data.riksdagen.se/dokument/HC023234,https://data.riksdagen.se/dokument/HC023234/text,0,5222660,3234,2024-10-17,3234,TU,2024/25,Hänvisad,av Malin Östh m.fl. (V),Kommittémotion,012,med anledning av prop. 2024/25:28 Vägen till en pålitlig transportinfrastruktur – för att hela Sverige ska fungera
Socialutskottet,SoU,1018,GW02So393,,,https://data.riksdagen.se/dokumentstatus/GW02So393,mot,https://data.riksdagen.se/dokument/GW02So393,https://data.riksdagen.se/dokument/GW02So393/text,0,2221134,So393,2008-10-03,393,SoU,2008/09,Ank T,av Solveig Hellquist och Maria Lundqvist-Brömster (fp),Enskild motion,fp1148,Samordnad rådgivningsverksamhet vid separationer
Socialutskottet,SoU,1018,GZ02So581,,,https://data.riksdagen.se/dokumentstatus/GZ02So581,mot,https://data.riksdagen.se/dokument/GZ02So581,https://data.riksdagen.se/dokument/GZ02So581/text,0,2735798,So581,2011-10-05,581,SoU,2011/12,Ank T,av Finn Bengtsson m.fl. (M),Enskild motion,M367,Effektiv och säker psykiatrisk vård
Försvarsutskottet,FöU,922,H002Fö263,,,https://data.riksdagen.se/dokumentstatus/H002Fö263,mot,https://data.riksdagen.se/dokument/H002Fö263,https://data.riksdagen.se/dokument/H002Fö263/text,0,2812515,Fö263,2012-10-05,263,FöU,2012/13,Ank T,av Peter Rådberg m.fl. (MP),Kommittémotion,MP3110,Sårbarhetsanpassning för ett förändrat klimat
Socialförsäkringsutskottet,SfU,1002,GW02Sf306,,,https://data.riksdagen.se/dokumentstatus/GW02Sf306,mot,https://data.riksdagen.se/dokument/GW02Sf306,https://data.riksdagen.se/dokument/GW02Sf306/text,0,2220749,Sf306,2008-10-06,306,SfU,2008/09,Ank T,av Monica Green (s),Enskild motion,s19015,Alla barns rätt till sjukvård
Kulturutskottet,KrU,982,GS02Kr296,,,https://data.riksdagen.se/dokumentstatus/GS02Kr296,mot,https://data.riksdagen.se/dokument/GS02Kr296,https://data.riksdagen.se/dokument/GS02Kr296/text,0,2227101,Kr296,2004-10-03,296,KrU,2004/05,Trycklov,av Sven Bergström (c) och Lotta Hedström (mp),Flerpartimotion,-c356,Överloppsbyggnader
