election_cycle_id,cycle_year,calendar_year,semester,party1,party2,alignment_rate,coalition_strength,influential_politicians,avg_network_centrality,power_broker_count,rank_by_alignment,percent_rank_alignment,ntile_coalition_strength,prev_semester_alignment,stddev_alignment,change_alignment_pct,coalition_stability_trend,network_density,coalition_momentum
2018-2022,4,2021,aggregate,C,SD,0.4916,WEAK_COALITION,0,0,0,33,0.4507042253521127,2,0.4916,0.16723360968517462857,0.00,stable,2.94,weak
2022-2026,3,2024,aggregate,C,SD,0.4916,WEAK_COALITION,0,0,0,65,0.44755244755244755,2,0.4916,0.16723360968517462857,0.00,stable,2.94,weak
2022-2026,4,2025,aggregate,C,KD,0.7686,WEAK_COALITION,0,0,0,17,0.11188811188811189,1,0.7686,0.16723360968517462857,0.00,stable,4.60,weak
2022-2026,2,2023,aggregate,C,MP,0.4911,WEAK_COALITION,0,0,0,69,0.4755244755244755,2,0.4911,0.16723360968517462857,0.00,stable,2.94,weak
2026-2030,3,2028,aggregate,L,V,0.3878,WEAK_COALITION,0,0,0,97,0.6713286713286714,3,0.3878,0.16723360968517462857,0.00,stable,2.32,weak
2030-2034,1,2030,aggregate,M,MP,0.4503,WEAK_COALITION,0,0,0,21,0.5714285714285714,3,,0.16723360968517462857,,baseline,2.69,weak
2026-2030,1,2026,aggregate,KD,V,0.3702,WEAK_COALITION,0,0,0,105,0.7272727272727273,3,,0.16723360968517462857,,baseline,2.21,weak
2026-2030,2,2027,aggregate,-,L,0.3310,WEAK_COALITION,0,0,0,121,0.8391608391608392,4,0.3310,0.16723360968517462857,0.00,stable,1.98,weak
2030-2034,1,2030,aggregate,C,S,0.5117,WEAK_COALITION,0,0,0,14,0.37142857142857144,2,,0.16723360968517462857,,baseline,3.06,weak
2030-2034,1,2030,aggregate,M,S,0.5089,WEAK_COALITION,0,0,0,15,0.4,2,,0.16723360968517462857,,baseline,3.04,weak
2022-2026,2,2023,aggregate,-,M,0.3179,WEAK_COALITION,0,0,0,137,0.951048951048951,4,0.3179,0.16723360968517462857,0.00,stable,1.90,weak
2022-2026,1,2022,aggregate,-,KD,0.3197,WEAK_COALITION,0,0,0,133,0.9230769230769231,4,,0.16723360968517462857,,baseline,1.91,weak
2018-2022,3,2020,aggregate,-,M,0.3179,WEAK_COALITION,0,0,0,69,0.9577464788732394,4,,0.16723360968517462857,,baseline,1.90,weak
2026-2030,3,2028,aggregate,M,S,0.5089,WEAK_COALITION,0,0,0,57,0.3916083916083916,2,0.5089,0.16723360968517462857,0.00,stable,3.04,weak
2026-2030,2,2027,aggregate,C,S,0.5117,WEAK_COALITION,0,0,0,53,0.36363636363636365,2,0.5117,0.16723360968517462857,0.00,stable,3.06,weak
2022-2026,4,2025,aggregate,-,C,0.3003,WEAK_COALITION,0,0,0,141,0.9790209790209791,4,0.3003,0.16723360968517462857,0.00,stable,1.80,weak
2030-2034,1,2030,aggregate,-,KD,0.3197,WEAK_COALITION,0,0,0,34,0.9428571428571428,4,,0.16723360968517462857,,baseline,1.91,weak
2026-2030,1,2026,aggregate,L,MP,0.4893,WEAK_COALITION,0,0,0,73,0.5034965034965035,3,,0.16723360968517462857,,baseline,2.93,weak
2022-2026,2,2023,aggregate,-,KD,0.3197,WEAK_COALITION,0,0,0,133,0.9230769230769231,4,0.3197,0.16723360968517462857,0.00,stable,1.91,weak
2022-2026,1,2022,aggregate,L,MP,0.4893,WEAK_COALITION,0,0,0,73,0.5034965034965035,3,,0.16723360968517462857,,baseline,2.93,weak
2022-2026,4,2025,aggregate,C,V,0.3785,WEAK_COALITION,0,0,0,101,0.6993006993006993,3,0.3785,0.16723360968517462857,0.00,stable,2.26,weak
2026-2030,4,2029,aggregate,C,M,0.7545,WEAK_COALITION,0,0,0,21,0.13986013986013987,1,0.7545,0.16723360968517462857,0.00,stable,4.51,weak
2022-2026,1,2022,aggregate,S,V,0.6522,WEAK_COALITION,0,0,0,33,0.22377622377622378,1,,0.16723360968517462857,,baseline,3.90,weak
2022-2026,3,2024,aggregate,-,SD,0.3910,WEAK_COALITION,0,0,0,93,0.6433566433566433,3,0.3910,0.16723360968517462857,0.00,stable,2.34,weak
2022-2026,1,2022,aggregate,C,S,0.5117,WEAK_COALITION,0,0,0,53,0.36363636363636365,2,,0.16723360968517462857,,baseline,3.06,weak
2026-2030,2,2027,aggregate,KD,V,0.3702,WEAK_COALITION,0,0,0,105,0.7272727272727273,3,0.3702,0.16723360968517462857,0.00,stable,2.21,weak
2026-2030,4,2029,aggregate,MP,SD,0.4120,WEAK_COALITION,0,0,0,89,0.6153846153846154,3,0.4120,0.16723360968517462857,0.00,stable,2.46,weak
2018-2022,3,2020,aggregate,MP,SD,0.4120,WEAK_COALITION,0,0,0,45,0.6197183098591549,3,,0.16723360968517462857,,baseline,2.46,weak
2018-2022,4,2021,aggregate,L,MP,0.4893,WEAK_COALITION,0,0,0,37,0.5070422535211268,3,0.4893,0.16723360968517462857,0.00,stable,2.93,weak
2026-2030,1,2026,aggregate,-,S,0.3370,WEAK_COALITION,0,0,0,117,0.8111888111888111,4,,0.16723360968517462857,,baseline,2.02,weak
2026-2030,3,2028,aggregate,C,M,0.7545,WEAK_COALITION,0,0,0,21,0.13986013986013987,1,0.7545,0.16723360968517462857,0.00,stable,4.51,weak
2018-2022,4,2021,aggregate,KD,S,0.5048,WEAK_COALITION,0,0,0,31,0.4225352112676056,2,0.5048,0.16723360968517462857,0.00,stable,3.02,weak
2022-2026,2,2023,aggregate,-,S,0.3370,WEAK_COALITION,0,0,0,117,0.8111888111888111,4,0.3370,0.16723360968517462857,0.00,stable,2.02,weak
2026-2030,2,2027,aggregate,SD,V,0.3509,WEAK_COALITION,0,0,0,113,0.7832167832167832,4,0.3509,0.16723360968517462857,0.00,stable,2.10,weak
2030-2034,1,2030,aggregate,L,MP,0.4893,WEAK_COALITION,0,0,0,19,0.5142857142857142,3,,0.16723360968517462857,,baseline,2.93,weak
2022-2026,4,2025,aggregate,S,SD,0.4363,WEAK_COALITION,0,0,0,85,0.5874125874125874,3,0.4363,0.16723360968517462857,0.00,stable,2.61,weak
2026-2030,1,2026,aggregate,-,C,0.3003,WEAK_COALITION,0,0,0,141,0.9790209790209791,4,,0.16723360968517462857,,baseline,1.80,weak
2026-2030,1,2026,aggregate,M,MP,0.4503,WEAK_COALITION,0,0,0,81,0.5594405594405595,3,,0.16723360968517462857,,baseline,2.69,weak
2026-2030,2,2027,aggregate,L,M,0.8324,WEAK_COALITION,0,0,0,5,0.027972027972027972,1,0.8324,0.16723360968517462857,0.00,stable,4.98,weak
2026-2030,2,2027,aggregate,S,SD,0.4363,WEAK_COALITION,0,0,0,85,0.5874125874125874,3,0.4363,0.16723360968517462857,0.00,stable,2.61,weak
2018-2022,4,2021,aggregate,L,M,0.8324,WEAK_COALITION,0,0,0,3,0.028169014084507043,1,0.8324,0.16723360968517462857,0.00,stable,4.98,weak
2022-2026,2,2023,aggregate,KD,MP,0.4657,WEAK_COALITION,0,0,0,77,0.5314685314685315,3,0.4657,0.16723360968517462857,0.00,stable,2.78,weak
2026-2030,2,2027,aggregate,MP,S,0.7156,WEAK_COALITION,0,0,0,25,0.16783216783216784,1,0.7156,0.16723360968517462857,0.00,stable,4.28,weak
2026-2030,4,2029,aggregate,M,S,0.5089,WEAK_COALITION,0,0,0,57,0.3916083916083916,2,0.5089,0.16723360968517462857,0.00,stable,3.04,weak
2026-2030,4,2029,aggregate,L,MP,0.4893,WEAK_COALITION,0,0,0,73,0.5034965034965035,3,0.4893,0.16723360968517462857,0.00,stable,2.93,weak
2022-2026,4,2025,aggregate,C,S,0.5117,WEAK_COALITION,0,0,0,53,0.36363636363636365,2,0.5117,0.16723360968517462857,0.00,stable,3.06,weak
2018-2022,4,2021,aggregate,KD,L,0.8323,WEAK_COALITION,0,0,0,5,0.056338028169014086,1,0.8323,0.16723360968517462857,0.00,stable,4.98,weak
2018-2022,3,2020,aggregate,L,M,0.8324,WEAK_COALITION,0,0,0,3,0.028169014084507043,1,,0.16723360968517462857,,baseline,4.98,weak
2026-2030,2,2027,aggregate,-,MP,0.3203,WEAK_COALITION,0,0,0,129,0.8951048951048951,4,0.3203,0.16723360968517462857,0.00,stable,1.92,weak
2026-2030,4,2029,aggregate,KD,M,0.8387,WEAK_COALITION,0,0,0,1,0,1,0.8387,0.16723360968517462857,0.00,stable,5.02,weak
2022-2026,2,2023,aggregate,KD,S,0.5048,WEAK_COALITION,0,0,0,61,0.4195804195804196,2,0.5048,0.16723360968517462857,0.00,stable,3.02,weak
2022-2026,4,2025,aggregate,M,S,0.5089,WEAK_COALITION,0,0,0,57,0.3916083916083916,2,0.5089,0.16723360968517462857,0.00,stable,3.04,weak
2022-2026,2,2023,aggregate,M,S,0.5089,WEAK_COALITION,0,0,0,57,0.3916083916083916,2,0.5089,0.16723360968517462857,0.00,stable,3.04,weak
2026-2030,3,2028,aggregate,C,V,0.3785,WEAK_COALITION,0,0,0,101,0.6993006993006993,3,0.3785,0.16723360968517462857,0.00,stable,2.26,weak
2022-2026,3,2024,aggregate,KD,L,0.8323,WEAK_COALITION,0,0,0,9,0.055944055944055944,1,0.8323,0.16723360968517462857,0.00,stable,4.98,weak
2026-2030,1,2026,aggregate,-,MP,0.3203,WEAK_COALITION,0,0,0,129,0.8951048951048951,4,,0.16723360968517462857,,baseline,1.92,weak
2030-2034,1,2030,aggregate,-,L,0.3310,WEAK_COALITION,0,0,0,31,0.8571428571428571,4,,0.16723360968517462857,,baseline,1.98,weak
2018-2022,3,2020,aggregate,C,S,0.5117,WEAK_COALITION,0,0,0,27,0.36619718309859156,2,,0.16723360968517462857,,baseline,3.06,weak
2022-2026,2,2023,aggregate,M,SD,0.5744,WEAK_COALITION,0,0,0,41,0.27972027972027974,2,0.5744,0.16723360968517462857,0.00,stable,3.43,weak
2022-2026,2,2023,aggregate,-,V,0.3285,WEAK_COALITION,0,0,0,125,0.8671328671328671,4,0.3285,0.16723360968517462857,0.00,stable,1.96,weak
2022-2026,2,2023,aggregate,MP,SD,0.4120,WEAK_COALITION,0,0,0,89,0.6153846153846154,3,0.4120,0.16723360968517462857,0.00,stable,2.46,weak
2018-2022,4,2021,aggregate,L,V,0.3878,WEAK_COALITION,0,0,0,49,0.676056338028169,3,0.3878,0.16723360968517462857,0.00,stable,2.32,weak
2022-2026,4,2025,aggregate,-,MP,0.3203,WEAK_COALITION,0,0,0,129,0.8951048951048951,4,0.3203,0.16723360968517462857,0.00,stable,1.92,weak
2022-2026,3,2024,aggregate,-,S,0.3370,WEAK_COALITION,0,0,0,117,0.8111888111888111,4,0.3370,0.16723360968517462857,0.00,stable,2.02,weak
2018-2022,3,2020,aggregate,-,L,0.3310,WEAK_COALITION,0,0,0,61,0.8450704225352113,4,,0.16723360968517462857,,baseline,1.98,weak
2022-2026,4,2025,aggregate,MP,S,0.7156,WEAK_COALITION,0,0,0,25,0.16783216783216784,1,0.7156,0.16723360968517462857,0.00,stable,4.28,weak
2018-2022,4,2021,aggregate,L,S,0.5317,WEAK_COALITION,0,0,0,25,0.3380281690140845,2,0.5317,0.16723360968517462857,0.00,stable,3.18,weak
2018-2022,3,2020,aggregate,KD,SD,0.5817,WEAK_COALITION,0,0,0,19,0.2535211267605634,2,,0.16723360968517462857,,baseline,3.48,weak
2030-2034,1,2030,aggregate,L,M,0.8324,WEAK_COALITION,0,0,0,2,0.02857142857142857,1,,0.16723360968517462857,,baseline,4.98,weak
2022-2026,2,2023,aggregate,L,S,0.5317,WEAK_COALITION,0,0,0,49,0.3356643356643357,2,0.5317,0.16723360968517462857,0.00,stable,3.18,weak
2022-2026,3,2024,aggregate,S,V,0.6522,WEAK_COALITION,0,0,0,33,0.22377622377622378,1,0.6522,0.16723360968517462857,0.00,stable,3.90,weak
2026-2030,3,2028,aggregate,-,KD,0.3197,WEAK_COALITION,0,0,0,133,0.9230769230769231,4,0.3197,0.16723360968517462857,0.00,stable,1.91,weak
2022-2026,4,2025,aggregate,MP,SD,0.4120,WEAK_COALITION,0,0,0,89,0.6153846153846154,3,0.4120,0.16723360968517462857,0.00,stable,2.46,weak
2022-2026,3,2024,aggregate,S,SD,0.4363,WEAK_COALITION,0,0,0,85,0.5874125874125874,3,0.4363,0.16723360968517462857,0.00,stable,2.61,weak
2026-2030,3,2028,aggregate,C,S,0.5117,WEAK_COALITION,0,0,0,53,0.36363636363636365,2,0.5117,0.16723360968517462857,0.00,stable,3.06,weak
2026-2030,4,2029,aggregate,S,SD,0.4363,WEAK_COALITION,0,0,0,85,0.5874125874125874,3,0.4363,0.16723360968517462857,0.00,stable,2.61,weak
2018-2022,3,2020,aggregate,C,L,0.7775,WEAK_COALITION,0,0,0,7,0.08450704225352113,1,,0.16723360968517462857,,baseline,4.65,weak
2026-2030,3,2028,aggregate,-,S,0.3370,WEAK_COALITION,0,0,0,117,0.8111888111888111,4,0.3370,0.16723360968517462857,0.00,stable,2.02,weak
2022-2026,1,2022,aggregate,M,MP,0.4503,WEAK_COALITION,0,0,0,81,0.5594405594405595,3,,0.16723360968517462857,,baseline,2.69,weak
2022-2026,4,2025,aggregate,C,L,0.7775,WEAK_COALITION,0,0,0,13,0.08391608391608392,1,0.7775,0.16723360968517462857,0.00,stable,4.65,weak
2022-2026,3,2024,aggregate,-,L,0.3310,WEAK_COALITION,0,0,0,121,0.8391608391608392,4,0.3310,0.16723360968517462857,0.00,stable,1.98,weak
2026-2030,4,2029,aggregate,S,V,0.6522,WEAK_COALITION,0,0,0,33,0.22377622377622378,1,0.6522,0.16723360968517462857,0.00,stable,3.90,weak
2018-2022,3,2020,aggregate,KD,V,0.3702,WEAK_COALITION,0,0,0,53,0.7323943661971831,3,,0.16723360968517462857,,baseline,2.21,weak
2026-2030,1,2026,aggregate,L,SD,0.5678,WEAK_COALITION,0,0,0,45,0.3076923076923077,2,,0.16723360968517462857,,baseline,3.40,weak
2022-2026,1,2022,aggregate,S,SD,0.4363,WEAK_COALITION,0,0,0,85,0.5874125874125874,3,,0.16723360968517462857,,baseline,2.61,weak
2022-2026,2,2023,aggregate,L,SD,0.5678,WEAK_COALITION,0,0,0,45,0.3076923076923077,2,0.5678,0.16723360968517462857,0.00,stable,3.40,weak
2022-2026,2,2023,aggregate,MP,S,0.7156,WEAK_COALITION,0,0,0,25,0.16783216783216784,1,0.7156,0.16723360968517462857,0.00,stable,4.28,weak
2022-2026,2,2023,aggregate,-,MP,0.3203,WEAK_COALITION,0,0,0,129,0.8951048951048951,4,0.3203,0.16723360968517462857,0.00,stable,1.92,weak
2026-2030,1,2026,aggregate,MP,V,0.6931,WEAK_COALITION,0,0,0,29,0.1958041958041958,1,,0.16723360968517462857,,baseline,4.14,weak
2022-2026,1,2022,aggregate,-,SD,0.3910,WEAK_COALITION,0,0,0,93,0.6433566433566433,3,,0.16723360968517462857,,baseline,2.34,weak
2022-2026,3,2024,aggregate,C,S,0.5117,WEAK_COALITION,0,0,0,53,0.36363636363636365,2,0.5117,0.16723360968517462857,0.00,stable,3.06,weak
2026-2030,4,2029,aggregate,KD,SD,0.5817,WEAK_COALITION,0,0,0,37,0.2517482517482518,2,0.5817,0.16723360968517462857,0.00,stable,3.48,weak
2026-2030,4,2029,aggregate,KD,L,0.8323,WEAK_COALITION,0,0,0,9,0.055944055944055944,1,0.8323,0.16723360968517462857,0.00,stable,4.98,weak
2026-2030,2,2027,aggregate,MP,V,0.6931,WEAK_COALITION,0,0,0,29,0.1958041958041958,1,0.6931,0.16723360968517462857,0.00,stable,4.14,weak
2022-2026,1,2022,aggregate,-,MP,0.3203,WEAK_COALITION,0,0,0,129,0.8951048951048951,4,,0.16723360968517462857,,baseline,1.92,weak
2022-2026,1,2022,aggregate,M,SD,0.5744,WEAK_COALITION,0,0,0,41,0.27972027972027974,2,,0.16723360968517462857,,baseline,3.43,weak
2022-2026,3,2024,aggregate,-,V,0.3285,WEAK_COALITION,0,0,0,125,0.8671328671328671,4,0.3285,0.16723360968517462857,0.00,stable,1.96,weak
2022-2026,4,2025,aggregate,-,M,0.3179,WEAK_COALITION,0,0,0,137,0.951048951048951,4,0.3179,0.16723360968517462857,0.00,stable,1.90,weak
2018-2022,3,2020,aggregate,M,SD,0.5744,WEAK_COALITION,0,0,0,21,0.28169014084507044,2,,0.16723360968517462857,,baseline,3.43,weak
2026-2030,3,2028,aggregate,KD,MP,0.4657,WEAK_COALITION,0,0,0,77,0.5314685314685315,3,0.4657,0.16723360968517462857,0.00,stable,2.78,weak
2022-2026,4,2025,aggregate,M,MP,0.4503,WEAK_COALITION,0,0,0,81,0.5594405594405595,3,0.4503,0.16723360968517462857,0.00,stable,2.69,weak
2026-2030,1,2026,aggregate,C,SD,0.4916,WEAK_COALITION,0,0,0,65,0.44755244755244755,2,,0.16723360968517462857,,baseline,2.94,weak
2026-2030,3,2028,aggregate,C,SD,0.4916,WEAK_COALITION,0,0,0,65,0.44755244755244755,2,0.4916,0.16723360968517462857,0.00,stable,2.94,weak
2026-2030,4,2029,aggregate,L,S,0.5317,WEAK_COALITION,0,0,0,49,0.3356643356643357,2,0.5317,0.16723360968517462857,0.00,stable,3.18,weak
2026-2030,3,2028,aggregate,KD,S,0.5048,WEAK_COALITION,0,0,0,61,0.4195804195804196,2,0.5048,0.16723360968517462857,0.00,stable,3.02,weak
2026-2030,1,2026,aggregate,L,M,0.8324,WEAK_COALITION,0,0,0,5,0.027972027972027972,1,,0.16723360968517462857,,baseline,4.98,weak
2026-2030,4,2029,aggregate,C,KD,0.7686,WEAK_COALITION,0,0,0,17,0.11188811188811189,1,0.7686,0.16723360968517462857,0.00,stable,4.60,weak
2026-2030,3,2028,aggregate,M,V,0.3594,WEAK_COALITION,0,0,0,109,0.7552447552447552,4,0.3594,0.16723360968517462857,0.00,stable,2.15,weak
2026-2030,4,2029,aggregate,-,SD,0.3910,WEAK_COALITION,0,0,0,93,0.6433566433566433,3,0.3910,0.16723360968517462857,0.00,stable,2.34,weak
2026-2030,3,2028,aggregate,-,C,0.3003,WEAK_COALITION,0,0,0,141,0.9790209790209791,4,0.3003,0.16723360968517462857,0.00,stable,1.80,weak
