embedded_id_decision_type,embedded_id_org,embedded_id_decision_date,total,committee_winner,reservation_winner
RÖSTNING,FIU,2005-11-29,4,4,0
ACKLAMATION,FÖU,2013-06-13,1,1,0
RÖSTNING,AU,2005-02-03,3,3,0
RÖSTNING,UU,2010-03-08,2,2,0
ACKLAMATION,UU,2008-11-14,3,3,0
ACKLAMATION,UBU,2013-05-31,24,24,0
ACKLAMATION,UFÖU,2009-11-25,1,1,0
ACKLAMATION,UBU,2008-02-01,13,13,0
ACKLAMATION,CU,2008-02-22,1,1,0
ACKLAMATION,SKU,2004-05-13,1,1,0
RÖSTNING,UBU,2013-10-24,6,6,0
ACKLAMATION,SOU,2007-04-27,2,2,0
RÖSTNING,NU,2002-05-23,4,3,0
ACKLAMATION,UU,2005-11-24,17,17,0
RÖSTNING,UU,2010-02-23,1,1,0
ACKLAMATION,KU,2025-06-05,2,2,0
RÖSTNING,FIU,2014-06-10,1,1,0
ACKLAMATION,LU,2004-01-01,8,8,0
ACKLAMATION,CU,2008-03-25,10,10,0
RÖSTNING,FIU,2009-03-23,4,4,0
ACKLAMATION,KU,2015-11-12,1,1,0
ACKLAMATION,LU,2004-11-18,2,2,0
RÖSTNING,SKU,2016-03-07,3,3,0
RÖSTNING,AU,2006-03-23,7,7,0
ACKLAMATION,SOU,2012-03-30,1,1,0
RÖSTNING,MJU,2010-02-22,5,5,0
ACKLAMATION,NU,2014-02-26,9,9,0
ACKLAMATION,CU,2007-03-26,3,3,0
ACKLAMATION,CU,2013-03-05,13,13,0
RÖSTNING,SOU,2012-06-01,2,2,0
ACKLAMATION,FIU,2012-12-04,2,2,0
ACKLAMATION,SKU,2009-11-25,2,2,0
RÖSTNING,UFÖU,2017-06-01,2,2,0
-,KU,2001-12-12,1,0,0
ACKLAMATION,UU,2004-04-27,15,15,0
RÖSTNING,FIU,2015-06-04,1,1,0
ACKLAMATION,MJU,2002-02-21,8,8,0
ACKLAMATION,UU,2007-05-30,2,2,0
ACKLAMATION,KU,2010-06-03,12,12,0
RÖSTNING,FIU,2009-05-13,1,1,0
RÖSTNING,NU,2012-06-01,1,1,0
RÖSTNING,SOU,2014-03-11,7,7,0
ACKLAMATION,SFU,2007-05-11,1,1,0
RÖSTNING,FIU,2008-11-19,3,3,0
ACKLAMATION,TU,2016-04-15,16,16,0
ACKLAMATION,SFU,2016-01-29,1,1,0
ACKLAMATION,JUU,2014-04-10,1,1,0
ACKLAMATION,SFU,2010-04-28,1,1,0
ACKLAMATION,JUU,2013-01-17,11,11,0
RÖSTNING,AU,2008-05-13,1,1,0
RÖSTNING,JUU,2008-11-12,1,1,0
RÖSTNING,NU,2003-05-23,3,3,0
ACKLAMATION,SKU,2015-10-01,1,1,0
RÖSTNING,AU,2014-02-10,1,1,0
ACKLAMATION,KU,2007-12-04,9,9,0
RÖSTNING,UU,2010-04-26,1,1,0
ACKLAMATION,UU,2009-10-27,3,3,0
"",KUU,2003-03-27,1,0,0
ACKLAMATION,SFU,2017-11-10,2,2,0
ACKLAMATION,UBU,2014-02-06,2,2,0
RÖSTNING,UBU,2009-12-01,1,1,0
ACKLAMATION,AU,2006-12-21,11,11,0
ACKLAMATION,LU,2006-05-02,2,2,0
RÖSTNING,TU,2012-05-21,5,5,0
ACKLAMATION,NU,2002-04-09,4,4,0
-,BOU,2002-04-04,4,0,0
ACKLAMATION,FIU,2004-11-30,9,9,0
ACKLAMATION,NU,2006-12-08,3,3,0
ACKLAMATION,TU,2011-12-07,9,9,0
RÖSTNING,CU,2013-03-15,1,1,0
ACKLAMATION,JUU,2015-01-23,1,1,0
RÖSTNING,NU,2017-05-05,5,5,0
RÖSTNING,FÖU,2003-11-25,3,3,0
RÖSTNING,CU,2007-04-26,1,1,0
RÖSTNING,AU,2002-04-09,8,7,0
"",KU,2017-03-09,11,0,0
ACKLAMATION,FIU,2003-03-04,4,4,0
ACKLAMATION,SFU,2009-12-04,16,16,0
RÖSTNING,MJU,2007-04-12,5,5,0
ACKLAMATION,NU,2009-03-03,2,2,0
ACKLAMATION,KU,2013-05-03,1,1,0
ACKLAMATION,JUU,2003-02-11,6,6,0
ACKLAMATION,JUU,2003-10-30,5,5,0
RÖSTNING,JUU,2002-04-25,1,1,0
ACKLAMATION,SFU,2016-11-23,1,1,0
ACKLAMATION,CU,2022-04-21,2,2,0
RÖSTNING,UBU,2002-03-07,16,16,0
RÖSTNING,FÖU,2013-03-21,2,2,0
RÖSTNING,SOU,2018-12-07,7,7,0
"",FIU,2025-11-04,1,0,0
