person_reference_id,total_documents,party_motions,individual_motions,follow_up_motions,committee_motions,multi_party_motions,party_motions_pct,individual_motions_pct,committee_motions_pct,first_document_date,last_document_date,years_active,docs_per_year,documents_last_year,propositions,government_communications,document_types,activity_profile,activity_level,collaboration_percentage
0705556766027,96,21,41,0,30,3,21.9,42.7,31.3,2006-10-31,2007-11-01,1,96.0,0,0,0,"{mot:,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Medium,3.1
0872978640827,317,70,91,2,127,27,22.1,28.7,40.1,2006-10-31,2014-08-29,7,45.3,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Följdmotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Very High,8.5
0962261029919,9,4,3,0,2,0,44.4,33.3,22.2,2018-11-26,2018-11-30,0,,0,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Party-focused,Low,0.0
0504711999229,54,6,12,0,36,0,11.1,22.2,66.7,2014-11-06,2016-10-05,1,54.0,0,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Committee-focused,Medium,0.0
0224712677012,691,60,156,0,408,37,8.7,22.6,59.0,2000-02-09,2025-06-24,25,27.6,0,12,5,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion,prop:prop,prop:skr}",Committee-focused,Very High,5.4
0363228965800,398,107,194,0,76,20,26.9,48.7,19.1,2006-10-31,2022-05-04,15,26.5,0,0,0,"{mot:,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,5.0
0843345349823,512,0,442,0,69,0,0.0,86.3,13.5,2006-10-31,2022-05-09,15,34.1,0,0,0,"{mot:,""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,Very High,0.0
0973350087929,30,0,30,0,0,0,0.0,100.0,0.0,2025-10-02,2025-10-07,0,,30,0,0,"{""mot:Enskild motion""}",Individual-focused,Low,0.0
0852475703226,165,8,20,0,137,0,4.8,12.1,83.0,2018-10-01,2026-05-13,7,23.6,20,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Committee-focused,High,0.0
0745594497101,197,1,147,0,34,15,0.5,74.6,17.3,2002-10-23,2008-10-08,5,39.4,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,High,7.6
0228907110117,17,0,17,0,0,0,0.0,100.0,0.0,2002-10-23,2005-10-18,2,8.5,0,0,0,"{""mot:Enskild motion""}",Individual-focused,Low,0.0
0844246115721,149,0,149,0,0,0,0.0,100.0,0.0,2007-10-01,2013-12-11,6,24.8,0,0,0,"{""mot:Enskild motion""}",Individual-focused,High,0.0
0526693079901,210,9,155,0,41,5,4.3,73.8,19.5,2002-10-22,2014-03-27,11,19.1,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,2.4
,12896,0,5,0,0,0,0.0,0.0,0.0,2000-01-01,2026-06-25,26,496.0,511,3434,560,"{bet:,bet:ap,bet:bet,bet:utl,kammakt:,kammakt:ap,kammakt:bu,kammakt:vo,kammakt:zz,mot:,mot:-,""mot:Enskild motion"",prop:,prop:prop,prop:skr}",Individual-focused,Very High,0.0
0361291071906,101,0,22,0,74,5,0.0,21.8,73.3,2000-10-05,2006-05-10,5,20.2,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Committee-focused,High,5.0
0223069839622,436,106,264,0,58,5,24.3,60.6,13.3,2014-11-06,2023-10-05,8,54.5,0,0,0,"{mot:,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,1.1
0833552896828,3,0,0,0,3,0,0.0,0.0,100.0,2022-04-07,2022-06-15,0,,0,0,0,{mot:Kommittémotion},Committee-focused,Low,0.0
0758217192418,267,7,96,0,139,25,2.6,36.0,52.1,2002-10-07,2008-10-08,6,44.5,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Very High,9.4
0327372175911,19,0,18,0,1,0,0.0,94.7,5.3,2022-11-21,2025-10-07,2,9.5,9,0,0,"{""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,Low,0.0
0784309503313,129,0,57,0,70,2,0.0,44.2,54.3,2002-10-23,2006-11-08,4,32.3,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Committee-focused,High,1.6
0899795917517,232,0,128,0,89,15,0.0,55.2,38.4,2002-10-23,2006-04-04,3,77.3,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Individual-focused,Very High,6.5
