embedded_id_ballot_id,embedded_id_intressent_id,embedded_id_concern,embedded_id_issue,party,first_name,last_name,gender,born_year,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,vote,won,rebel,party_won,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,ballot_type,rm,label,vote_date,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
3BA0918B-65A9-4E2C-AEA4-4FCAA813D3FD,0198917587520,SAKFRÅGAN,8,V,Maj,Karlsson,KVINNA,1980,1969,349,264,44,0,41,t,JA,t,f,t,f,75.64,12.61,11.75,0.00,55.30,HUVUD,2014/15,FiU25,2015-03-18,1970,21,18,1,0,2,t,f,85.71,4.76,9.52,0.00,42.86
8CAA7AE5-64ED-4535-A51F-78A243964EBE,0662364517619,SAKFRÅGAN,10,S,Luciano,Astudillo,MAN,1972,1958,349,149,107,33,60,t,NEJ,f,f,f,f,42.69,30.66,17.19,9.46,53.58,HUVUD,2009/10,MJU8,2009-10-07,1958,130,0,103,0,27,f,f,0.00,79.23,20.77,0.00,53.08
AE5B2A85-2BA2-4472-85FA-2DC928BB2462,0446541913415,SAKFRÅGAN,2,L,Allan,Widman,MAN,1964,1963,349,192,110,0,47,t,FRÅNVARANDE,f,f,t,f,55.01,31.52,13.47,0.00,54.73,HUVUD,2010/11,FiU34,2011-06-14,1959,24,21,0,0,3,t,f,87.50,0.00,12.50,0.00,54.17
6C4767E7-8E4D-42C6-AF99-11C36E50324F,0699787174310,SAKFRÅGAN,13,MP,Lotta,Hedström,KVINNA,1955,1954,349,156,127,0,66,t,JA,t,f,t,f,44.70,36.39,18.91,0.00,53.58,HUVUD,2005/06,LU13,2006-01-19,1958,17,12,1,0,4,t,f,70.59,5.88,23.53,0.00,52.94
0F380E77-75BD-11D9-AF1D-006008D5D577,0731442709013,SAKFRÅGAN,2,L,Christer,Nylander,MAN,1968,1954,349,268,28,0,53,t,JA,t,f,t,f,76.79,8.02,15.19,0.00,54.44,HUVUD,2004/05,JUU23,2005-03-08,1956,48,41,0,0,7,t,f,85.42,0.00,14.58,0.00,52.08
9B8EB672-2E9E-4A98-A3CF-3610907C23EA,0797642182211,MOTIVFRÅGAN,1,M,Mats G,Nilsson,MAN,1968,1958,349,150,106,34,59,t,JA,t,f,t,f,42.98,30.37,16.91,9.74,51.58,HUVUD,2006/07,UbU13,2007-05-21,1959,97,87,0,2,8,t,f,89.69,0.00,8.25,2.06,56.70
AF8EBB7B-5CD6-4351-A575-6EBE49642712,0203877548421,SAKFRÅGAN,9,S,Malin,Larsson,KVINNA,1980,1973,349,261,28,16,44,t,JA,t,f,t,f,74.79,8.02,12.61,4.58,53.01,HUVUD,2021/22,SfU22,2022-04-20,1973,100,89,0,0,11,t,f,89.00,0.00,11.00,0.00,48.00
83171E47-27BA-414A-8BE4-7004FBD44065,0279488554424,SAKFRÅGAN,25,SD,Alexander,Christiansson,MAN,1981,1975,349,268,14,21,46,t,JA,t,f,t,f,76.79,4.01,13.18,6.02,52.15,HUVUD,2022/23,JuU10,2023-05-03,1977,72,63,0,0,9,t,f,87.50,0.00,12.50,0.00,73.61
4A2231CF-EB19-4267-91EE-C27132C1AB16,035234573112,SAKFRÅGAN,3,SD,Anna-Lena,Hedberg,KVINNA,1973,1975,349,280,21,1,47,t,JA,t,f,t,f,80.23,6.02,13.47,0.29,55.59,HUVUD,2025/26,SoU10,2025-12-03,1976,72,63,0,0,9,t,f,87.50,0.00,12.50,0.00,76.39
4EADCB46-443D-11D9-AE82-0004755038E0,0534056896314,SAKFRÅGAN,1,KD,Lars,Gustafsson,MAN,1951,1954,349,180,120,15,34,t,NEJ,f,f,f,f,51.58,34.38,9.74,4.30,53.30,HUVUD,2004/05,NU3,2004-11-25,1951,33,0,29,0,4,f,f,0.00,87.88,12.12,0.00,69.70
35224A9B-C9E5-431D-98D4-50D310E8424E,0720249554818,SAKFRÅGAN,1,S,Börje,Vestlund,MAN,1960,1958,349,143,132,0,74,t,NEJ,f,f,f,f,40.97,37.82,21.20,0.00,53.01,HUVUD,2007/08,SkU10,2007-12-10,1958,130,1,100,0,29,f,f,0.77,76.92,22.31,0.00,49.23
1C7802BC-B1C3-4DFD-B5DC-CF0B622FC827,0913965980315,SAKFRÅGAN,10,S,Christina,Axelsson,KVINNA,1949,1954,349,206,99,0,44,t,JA,t,f,t,f,59.03,28.37,12.61,0.00,54.44,HUVUD,2004/05,AU7,2005-05-24,1954,144,131,0,0,13,t,f,90.97,0.00,9.03,0.00,50.69
1F0DDFC5-A881-43AE-924D-6C23D140871F,0992473266516,SAKFRÅGAN,3,KD,Larry,Söder,MAN,1969,1975,349,191,93,21,44,t,JA,t,f,t,f,54.73,26.65,12.61,6.02,52.15,HUVUD,2022/23,CU14,2023-04-19,1970,19,17,0,0,2,t,f,89.47,0.00,10.53,0.00,73.68
0AF2F59D-6164-494E-9439-60B06FD2B3E0,0720249554818,SAKFRÅGAN,5,S,Börje,Vestlund,MAN,1960,1958,349,283,15,0,51,t,JA,t,f,t,f,81.09,4.30,14.61,0.00,52.72,HUVUD,2007/08,CU9,2008-02-26,1958,130,108,0,0,22,t,f,83.08,0.00,16.92,0.00,51.54
F6F4B77A-4A72-4B66-9A0E-945ED38D1041,069436402021,SAKFRÅGAN,1,M,Tomas,Tobé,MAN,1978,1969,349,150,106,42,51,t,FRÅNVARANDE,f,f,f,f,42.98,30.37,14.61,12.03,53.30,HUVUD,2016/17,FöU9,2017-03-15,1969,84,0,73,0,11,f,f,0.00,86.90,13.10,0.00,50.00
2532BF82-990E-4652-81D1-90C7F73FE382,037561614928,SAKFRÅGAN,7,S,Lawen,Redar,KVINNA,1989,1969,349,271,37,0,41,t,JA,t,f,t,f,77.65,10.60,11.75,0.00,54.73,HUVUD,2014/15,UFöU4,2015-06-03,1968,113,104,0,0,9,t,f,92.04,0.00,7.96,0.00,48.67
F5B26D31-1C4F-4EB3-BC97-C891CCE9E4D8,0472335069513,SAKFRÅGAN,6,M,Eva,Bengtson Skogsberg,KVINNA,1951,1963,349,259,36,0,54,t,JA,t,f,t,f,74.21,10.32,15.47,0.00,56.73,HUVUD,2012/13,MJU8,2013-03-04,1965,107,94,0,0,13,t,f,87.85,0.00,12.15,0.00,57.94
B29F8DED-EB43-410F-9DE7-DB7924CEAC6C,0269067253614,SAKFRÅGAN,1,S,Thomas,Strand,MAN,1954,1963,349,157,102,56,34,t,NEJ,f,f,f,f,44.99,29.23,9.74,16.05,55.59,HUVUD,2013/14,NU3,2013-12-04,1962,112,0,102,0,10,f,f,0.00,91.07,8.93,0.00,50.00
D4790A47-99C8-11D8-AE2C-0004755038E0,0338278373318,SAKFRÅGAN,1,KD,Dan,Kihlström,MAN,1957,1954,349,167,136,0,46,t,NEJ,f,f,f,f,47.85,38.97,13.18,0.00,55.01,HUVUD,2003/04,NU13,2004-04-27,1951,33,0,29,0,4,f,f,0.00,87.88,12.12,0.00,69.70
AEE1D178-100D-4005-857B-895DA7A628E2,0745549193810,SAKFRÅGAN,3,KD,Stefan,Attefall,MAN,1960,1954,349,259,13,0,77,t,JA,t,f,t,f,74.21,3.72,22.06,0.00,55.01,HUVUD,2003/04,SKU23,2004-03-30,1951,33,24,1,0,8,t,f,72.73,3.03,24.24,0.00,69.70
AE296FBF-C22B-438A-9E35-AA12B59434EE,0346261747912,SAKFRÅGAN,1,KD,Helena,Höij,KVINNA,1965,1954,349,161,129,0,59,t,NEJ,f,f,f,f,46.13,36.96,16.91,0.00,53.30,HUVUD,2005/06,SoU24,2006-05-16,1951,33,0,28,0,5,f,f,0.00,84.85,15.15,0.00,69.70
