hjid,detail,reference_document_id,reference_type,document_reference_list_docu_0
2465762,motion 2015/16:2813 Åtgärdsprogram för kvinnors trygghet i vardagen,,BEHANDLAR,2465747
2768940,2024/25:TU6,,,2768939
181805,motion 2004/05:MJ503 Jakt och viltvård,,BEHANDLAR,181726
2636037,motion 2011/12:Ub415 Skolhälsovården,,BEHANDLAR,2635941
2470070,2025/26:SfU17,,,2470069
2064251,motion 2014/15:2587 Utveckla hela landet,,BEHANDLAR,2064228
724185,motion 1999/2000:U407 Konsekvensutredningar vid stora exportorder av krigsmateriel,,BEHANDLAR,724177
1617985,motion 2005/06:T481 Götalandsbanans betydelse för Sjuhäradsbygden,,BEHANDLAR,1617874
1612973,"motion 2007/08:U304 Homosexuellas, bisexuellas och transpersoners situation",,BEHANDLAR,1612952
2491764,2024/25:TU5,,,2491763
1397089,motion 2011/12:So553 Barnens ställning i beslut som rör fosterhemsärenden,,BEHANDLAR,1397061
784391,"<br/>
med anledning av prop. 1999/2000:30<br/>
Det nya försvaret",,,784368
826209,motion 2013/14:T11 Redovisningscentraler för taxi,,BEHANDLAR,826205
938848,motion 2003/04:Ju358 Stöd till barn som brottsoffer,,BEHANDLAR,938831
1840009,2007-12-19,,,1840004
340706,proposition 2000/01:92 7 kap. Rättegångsbalken,,BEHANDLAR,340703
1827837,2024/25:SoU15,,,1827836
2406132,2018/19:TU5,,,2406131
838304,motion 2004/05:Ub378 Högskolorna,,BEHANDLAR,838230
1327535,motion 2014/15:788 En trafiksäkrare riksväg 26,,BEHANDLAR,1327398
1548314,2009:1521,,,1548304
2669561,motion 2025/26:3591 Jämställdhet och mäns våld mot kvinnor,,BEHANDLAR,2669487
819049,2004-11-30,,PROTOKOLLDEBATT,819046
2269320,2018-05-16,,,2269319
935347,"motion 2007/08:C202 Barnets bästa vid tvister om vårdnad, boende och umgänge",,BEHANDLAR,935346
412965,2001/02:KU35,,,412964
2644192,motion 2013/14:So664 Bättre psykisk hälsa och psykiatrisk vård bland unga,,BEHANDLAR,2644123
2530566,motion 2017/18:774 Tryggare a-kassa,,BEHANDLAR,2530514
1391351,motion 2007/08:Ub273 Nationella prov på modersmålet,,BEHANDLAR,1391305
2302337,motion 2020/21:2948 Den svenska basindustrin ,,BEHANDLAR,2302318
2538837,motion 2014/15:2944 Forskning och högre utbildning,,BEHANDLAR,2538833
242943,motion 2000/01:L458 En öppen etisk dialog,,BEHANDLAR,242919
1617931,motion 2005/06:T327 E 4 genom Sundsvall,,BEHANDLAR,1617874
2330071,"motion 2009/10:Sf398 Livränta efter skada, ej efter ort eller kön",,BEHANDLAR,2329938
1398209,motion 2012/13:Fi234 Äventyra inte pensionärernas pengar,,BEHANDLAR,1398205
1753096,2009:249,,,1753082
1824817,motion 2012/13:U293 EU:s interna och externa utmaningar,,BEHANDLAR,1824811
2703734,motion 2017/18:3345 Bättre förutsättningar för svenskt jordbruk och svensk livsmedelsproduktion,,BEHANDLAR,2703720
1788260,2023/24:JuU16,,,1788259
385096,"<br/>
med anledning av prop. 2000/01:84<br/>
Kommunal uppdragsverksamhet",,,385094
2120657,motion 2024/25:2450 Föreningsfriheten och ideella föreningars oberoende,,BEHANDLAR,2120637
2606332,2017/18:SfU4,,,2606331
2674199,"",,,2674191
2026911,motion 2015/16:2704 Stärkt konsumentpolitik,,BEHANDLAR,2026891
2624273,motion 2015/16:2445 Nya och växande företag,,BEHANDLAR,2624248
189201,"motion 2001/02:MJ34 med anledning av prop. 2001/02:93 Ändringar i djurskyddslagen, m.m.",,BEHANDLAR,189171
2230277,2017/18:UU11,,,2230276
2513371,2013/14:162,,,2513360
781993,"<br/>
med anledning av prop. 1999/2000:73<br/>
Jaktens villkor",,,781983
781253,1999/2000:MJU18,,,781252
1623511,motion 2004/05:MJ8 Insatser för skogsbruket i södra Sverige (väckt enligt 3 kap. 13 § riksdagsordningen med anledning av händelse av större vikt),,BEHANDLAR,1623505
2437539,motion 2007/08:K229 Skilda valdagar,,BEHANDLAR,2437529
1384416,proposition 2007/08:121 Nedsatt koldioxidskatt för bränslen som förbrukas i anläggningar som omfattas av EU:s handel med utsläppsrätter,,BEHANDLAR,1384413
2728540,motion 2017/18:2825 Akademisk specialisttjänstgöring för sjuksköterskor,,BEHANDLAR,2728331
2366596,2015/16:SfU2,,,2366595
1456249,motion 2012/13:C392 Bostäder och hemlöshet,,BEHANDLAR,1456227
1641322,motion 2005/06:Ju358 Polisen i medborgarnas tjänst,,BEHANDLAR,1641277
131928,motion 2000/01:Bo410 Fastighetsförsäljningar i mindre tätorter,,BEHANDLAR,131923
2446154,motion 2005/06:T471 Mobiltelefoni och bilkörning,,BEHANDLAR,2446102
1989445,motion 2015/16:2429 Hållbar mat,,BEHANDLAR,1989430
2386235,motion 2010/11:T409 Renare transporter,,BEHANDLAR,2386219
2446172,motion 2005/06:T610 Svensk åkerinäring,,BEHANDLAR,2446102
2316475,motion 2015/16:1558 Rekrytering i Luleå,,BEHANDLAR,2316474
1355948,motion 2012/13:A350 En solidarisk flyktingpolitik,,BEHANDLAR,1355935
2603166,motion 2005/06:Sk345 Skattebefrielse,,BEHANDLAR,2603159
2191017,2024/25:NU20,,,2191016
1471931,proposition 2011/12:45 Kustbevakningsdatalag,,BEHANDLAR,1471928
2568971,av Kent Ekeroth och Adam Marttinen (SD)<br />med anledning av skr. 2014/15:46 2014 års redogörelse för tillämpningen av lagen om särskild utlänningskontroll,,,2568969
425359,motion 2001/02:Ju324 Våld mot kvinnor,,BEHANDLAR,425320
2739101,motion 2012/13:MJ455 Politik för miljömålen,,BEHANDLAR,2739070
1443245,motion 2013/14:Ub495 Körkort för jobb,,BEHANDLAR,1443204
2743607,motion 2021/22:384 Ta bort vistelsetid i Sverige som hinder för utvisning på grund av brott,,BEHANDLAR,2743592
2061705,2016/17:CU15,,,2061703
2703437,motion 2017/18:3889 Fiske och vattenbruk,,BEHANDLAR,2703405
1940924,2014/15:UU2,,,1940922
1916662,motion 2015/16:2708 Religionsfrihet,,BEHANDLAR,1916646
2660462,motion 2007/08:Sf310 Ensamma flyktingbarn,,BEHANDLAR,2660439
2637308,motion 2014/15:2946 Tillåta vapen i andras vapenskåp ,,BEHANDLAR,2637248
2203770,motion 2015/16:3120 Redovisning av kostnader för asyl- och anhöriginvandring,,BEHANDLAR,2203747
1580355,motion 2011/12:So569 Barnfattigdom,,BEHANDLAR,1580255
72764,2003/04:TU4,,,72763
208230,motion 2001/02:So637 Liberal politik,,BEHANDLAR,208219
142375,2002/03:KU1,,,142362
895443,2002-05-16,,,895427
1343192,2025/26:MJU8,,,1343184
2008020,motion 2015/16:1990 Fler lagliga vägar,,BEHANDLAR,2008008
1460822,motion 2021/22:4066 Kraftfull politik för att möta klimatnödläget,,BEHANDLAR,1460792
2254887,motion 2025/26:1526 Utveckla rutin för daglig rörelse och inkluderande idrott i skolan,,BEHANDLAR,2254879
1581050,2012:129,,,1581039
1916850,motion 2016/17:812 Internationella hbtq-frågor,,BEHANDLAR,1916847
236501,2000/01:UbU2,,,236475
116570,motion 2000/01:So515 Information och utbildning om organdonation,,BEHANDLAR,116427
2193323,2016/17:NU16,,,2193315
2629631,motion 2007/08:N19 Samgående mellan Posten AB (publ) och Post Danmark A/S,,BEHANDLAR,2629630
2490377,motion 2013/14:T493 Upprustning av Viskadalsbanan,,BEHANDLAR,2490146
2640789,motion 2023/24:235 Insatser mot missbruk av förkomna pass,,BEHANDLAR,2640736
2577948,föredragningslista 2017/18:31 Onsdag den 15 november 2017,,,2577944
2203627,2025/26:UbU12,,,2203626
1599367,Proposition 2022/23:1 Budgetpropositionen för 2023,,BEHANDLAR,1599356
2564793,motion 2006/07:Ub289 Idrott och hälsa i skolan,,BEHANDLAR,2564743
1622893,2015/16:UbU15,,,1622891
883315,motion 2002/03:T265 Tillgänglighet hos posten,,BEHANDLAR,883295
1548344,motion 2009/10:Ub260 Modersmål,,BEHANDLAR,1548337
242921,motion 2000/01:L403 Sambolagen,,BEHANDLAR,242919
1397269,motion 2012/13:So487 En jämlik och jämställd äldreomsorg,,BEHANDLAR,1397182
1646093,proposition 2007/08:150 Förmynderskapsrättsliga frågor,,BEHANDLAR,1646086
944252,2020-06-23,,,944245
571533,2002/03:3,,,571529
1621306,2021/22:SoU11,,,1621305
486875,2005/06:188,,,486857
2325270,2011-09-28,,,2325269
1983982,2014/15:SoU9,,,1983981
825705,motion 2019/20:926 Utsatta barn i skolan,,BEHANDLAR,825650
2502391,motion 2019/20:220 Rättighetsbaserat flyktingmottagande byggt på välfärd,,BEHANDLAR,2502358
512703,"<br/>
med anledning av skr. 1999/2000:106<br/>
Reformeringen av domstolsväsendet - en handlingsplan",,,512697
2076798,föredragningslista 2024/25:130 Onsdag den 11 juni 2025,,,2076795
2019654,2017/18:KrU3,,,2019651
1877306,motion 2012/13:U248 Internationellt arbete för att motverka våld mot kvinnor,,BEHANDLAR,1877267
315964,motion 2005/06:So696 Non-profit-sektorn,,BEHANDLAR,315820
1808612,motion 2005/06:N302 Stockholmsregionen,,BEHANDLAR,1808469
2561995,motion 2005/06:Ub309 Avskrivande av studielån på försök i Norrbottens och Västerbottens inland,,BEHANDLAR,2561982
2209202,2016/17:MJU13,,,2209201
2056670,2016/17:MJU24,,,2056669
2627832,motion 2025/26:2168 Äldres rätt att få välja sin egen mat,,BEHANDLAR,2627817
210663,motion 2004/05:Sf319 Barnens bästa,,BEHANDLAR,210606
1350516,motion 2020/21:2333 Migrationsverkets förvar ,,BEHANDLAR,1350494
2001317,2015/16:FiU1,,,2001312
2541444,motion 2008/09:So500 Investeringar för seniorer,,BEHANDLAR,2541439
1862732,2009/10:67,,,1862728
2458546,{3c93aeb7-59fc-e511-9433-00262d0d7125},,,2458539
