election_cycle_id,cycle_year,calendar_year,semester,party,ballots_participated,win_rate,yes_rate,approval_rate,participation_rate,seat_count_proxy,documents_produced,avg_rebel_rate,rank_by_seats,rank_by_win_rate,rank_by_productivity,rank_by_engagement,rank_by_effectiveness,percentile_seats,percentile_win_rate,percentile_productivity,quartile_by_size,quartile_by_performance,prev_semester_seats,prev_semester_win_rate,prev_semester_documents,prev_semester_participation,next_semester_seats,next_semester_win_rate,stddev_seats_sector,stddev_win_rate_sector,stddev_seats_party,stddev_win_rate_party,ma_3semester_seats,ma_3semester_win_rate,seat_change_absolute,seat_change_pct,win_rate_change_absolute,win_rate_change_pct,documents_change,electoral_trend,party_size_category,volatility_classification,seat_forecast,performance_forecast,seat_deviation_from_ma,trend_position_seats,electoral_tier,momentum_z_score_seats,momentum_z_score_win_rate,composite_electoral_score,legislative_effectiveness_index,election_readiness_score,projected_seat_change,electoral_warning_flag,is_pre_election_period,is_election_period,is_post_election_period
2022-2025,2,2023,autumn,V,381,51.71,43.18,99.74,85.20,0,126,0.06,1,26,29,14,20,0,0.7142857142857143,0.8,3,3,0,65.46,126,79.53,0,47.45,0,21.3890099130775194,0,23.7468687485318788,0.00000000000000000000,61.0733333333333333,0,,-13.75,-21.01,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,-0.58,,79.32,,0.0,CRITICAL_PERFORMANCE_DROP,f,f,f
2002-2005,3,2004,autumn,-,50,60.00,62.00,98.00,82.00,0,106,14.15,1,14,29,17,8,0,0.4482758620689655,0.9655172413793104,2,2,,,,,0,53.41,0,17.0820064167597778,0,24.4867297394595617,0.00000000000000000000,60.0000000000000000,,,,,,BASELINE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_DETERIORATION,0.00,ON_TREND,BOTTOM_TIER,,,,78.88,,,NORMAL,f,f,f
2006-2009,4,2009,autumn,MP,341,24.93,18.01,100.00,76.69,0,218,0.04,1,26,17,24,1,0,0.8928571428571429,0.5714285714285714,4,4,0,28.57,218,77.84,0,25.00,0,32.9711419202364865,0,24.5096212488075792,0.00000000000000000000,29.6300000000000000,0,,-3.64,-12.74,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,-0.15,,67.89,,0.0,NORMAL,f,t,f
2018-2021,2,2019,autumn,L,446,73.32,61.69,99.78,84.40,0,200,0.00,1,11,25,12,1,0,0.2857142857142857,0.6857142857142857,2,2,0,66.80,200,83.07,0,75.78,0,20.4335644868654497,0,19.3913899821544510,0.00000000000000000000,69.3366666666666667,0,,6.52,9.76,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,0.34,,86.71,,0.0,NORMAL,f,f,f
2022-2025,2,2023,autumn,-,182,56.59,56.59,100.00,81.87,0,106,14.15,1,21,33,24,1,0,0.5714285714285714,0.9142857142857143,3,3,0,55.85,106,70.55,0,47.20,0,21.3890099130775194,0,24.4867297394595617,0.00000000000000000000,54.1466666666666667,0,,0.74,1.32,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_DETERIORATION,0.00,ON_TREND,BOTTOM_TIER,,0.03,,78.15,,0.0,NORMAL,f,f,f
2022-2025,3,2024,autumn,M,411,99.51,86.10,100.00,86.53,0,1299,0.00,1,1,1,7,1,0,0,0,1,1,0,99.48,1299,86.71,0,99.07,0,21.3890099130775194,0,21.4463959340491520,0.00000000000000000000,86.1400000000000000,0,,0.03,0.03,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,0.00,,96.46,,0.0,NORMAL,f,f,f
2022-2025,2,2023,autumn,L,381,99.48,84.10,99.74,84.35,0,200,0.00,1,3,25,16,20,0,0.05714285714285714,0.6857142857142857,1,1,0,69.08,200,78.11,0,99.51,0,21.3890099130775194,0,19.3913899821544510,0.00000000000000000000,78.8800000000000000,0,,30.40,44.01,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,1.57,,95.84,,0.0,NORMAL,f,f,f
2014-2017,1,2014,autumn,MP,380,48.42,39.72,99.47,85.14,0,218,0.04,1,30,21,23,28,0,0.8529411764705882,0.5882352941176471,4,4,0,46.25,218,88.51,0,95.53,0,24.5353588811855660,0,24.5096212488075792,0.00000000000000000000,48.9266666666666667,0,,2.17,4.69,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_IMPROVEMENT,0.00,ON_TREND,BOTTOM_TIER,,0.09,,78.09,,0.0,NORMAL,f,f,f
2026-2029,1,2026,autumn,V,40,40.00,34.20,100.00,85.68,0,126,0.06,1,9,8,5,1,0,1,0.875,4,4,0,44.08,126,82.40,,,0,26.0282372780499513,0,23.7468687485318788,0.00000000000000000000,43.8433333333333333,0,,-4.08,-9.26,0,STABLE,MINOR_PARTY,STABLE_PARTY,NO_FORECAST,NO_FORECAST,0.00,ON_TREND,BOTTOM_TIER,,-0.17,,75.41,,0.0,NORMAL,f,f,f
2002-2005,4,2005,autumn,V,425,75.53,60.73,96.24,80.29,0,126,0.06,1,8,25,23,23,0,0.2413793103448276,0.8275862068965517,1,1,0,75.39,126,79.69,0,60.56,0,17.0820064167597778,0,23.7468687485318788,0.00000000000000000000,76.7000000000000000,0,,0.14,0.19,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_DETERIORATION,0.00,ON_TREND,BOTTOM_TIER,,0.01,,85.56,,0.0,NORMAL,f,t,f
2022-2025,1,2022,autumn,KD,663,56.11,50.01,93.06,81.29,0,387,0.01,1,22,17,26,28,0,0.6,0.45714285714285713,3,3,0,50.74,387,21.32,0,99.48,0,21.3890099130775194,0,22.5016232516678672,0.00000000000000000000,53.2833333333333333,0,,5.37,10.58,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_IMPROVEMENT,0.00,ON_TREND,BOTTOM_TIER,,0.24,,78.22,,0.0,NORMAL,f,f,f
2006-2009,1,2006,autumn,C,426,54.93,38.97,95.77,75.35,0,393,0.05,1,19,9,27,22,0,0.6428571428571429,0.2857142857142857,3,3,0,44.94,393,79.94,0,100.00,0,32.9711419202364865,0,20.0071564636257093,0.00000000000000000000,50.8666666666666667,0,,9.99,22.23,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_IMPROVEMENT,0.00,ON_TREND,BOTTOM_TIER,,0.50,,77.00,,0.0,NORMAL,f,f,f
2006-2009,2,2007,autumn,MP,308,35.39,26.71,100.00,81.72,0,218,0.04,1,22,17,12,1,0,0.75,0.5714285714285714,3,3,0,64.55,218,75.50,0,28.57,0,32.9711419202364865,0,24.5096212488075792,0.00000000000000000000,58.0200000000000000,0,,-29.16,-45.17,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_DETERIORATION,0.00,ON_TREND,BOTTOM_TIER,,-1.19,,72.81,,0.0,CRITICAL_PERFORMANCE_DROP,f,f,f
2006-2009,4,2009,autumn,KD,341,100.00,81.89,100.00,81.99,0,387,0.01,1,1,13,11,1,0,0,0.42857142857142855,2,2,0,100.00,387,79.68,0,98.70,0,32.9711419202364865,0,22.5016232516678672,0.00000000000000000000,100.0000000000000000,0,,0.00,0.00,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,0.00,,95.50,,0.0,NORMAL,f,t,f
