year,quarter,is_election_year,total_ballots,active_politicians,attendance_rate,documents_produced,q_baseline_ballots,q_stddev_ballots,ballot_z_score,q_baseline_docs,q_stddev_docs,doc_z_score,q_baseline_attendance,q_stddev_attendance,attendance_z_score,activity_classification
2012,4,f,116,354,100.00000000000000000000,2478,93.2222222222222222,36.7992256241343713,0.61897437762492535564,2963.6666666666666667,436.411031294231,-1.1128652390531055,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2022,4,t,31,357,100.00000000000000000000,2538,93.2222222222222222,36.7992256241343713,-1.6908568364388205,2963.6666666666666667,436.411031294231,-0.97538017177132166345,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2004,2,f,129,354,100.00000000000000000000,231,199.8333333333333333,67.9283792378587003,-1.0427649552082292,224.5000000000000000,111.066090552374,0.05852371293230024207,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2007,1,f,132,370,100.00000000000000000000,237,141.4444444444444444,34.7414352072771730,-0.27184957639476414039,251.1111111111111111,122.181104194643,-0.11549339977015700634,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2002,4,t,89,360,100.00000000000000000000,3268,93.2222222222222222,36.7992256241343713,-0.11473671390120567496,2963.6666666666666667,436.411031294231,0.69735481349038111086,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2020,1,f,128,358,100.00000000000000000000,263,141.4444444444444444,34.7414352072771730,-0.38698586757372307098,251.1111111111111111,122.181104194643,0.09730546279847873780,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2024,2,f,255,357,100.00000000000000000000,181,199.8333333333333333,67.9283792378587003,0.81212988276217379354,224.5000000000000000,111.066090552374,-0.39165869423924008154,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2008,4,f,116,355,100.00000000000000000000,3498,93.2222222222222222,36.7992256241343713,0.61897437762492535564,2963.6666666666666667,436.411031294231,1.2243809047372190,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2024,4,f,60,354,100.00000000000000000000,2344,93.2222222222222222,36.7992256241343713,-0.90279677517001307820,2963.6666666666666667,436.411031294231,-1.4199152226490893,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2003,2,f,150,354,100.00000000000000000000,201,199.8333333333333333,67.9283792378587003,-0.73361581554649535939,224.5000000000000000,111.066090552374,-0.21158573137062395210,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2023,3,f,3,349,100.00000000000000000000,595,5.4000000000000000,4.2054386555642784,-0.57068957523004748231,848.6666666666666667,536.116813852390,-0.47315558869323050768,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2014,1,t,168,357,100.00000000000000000000,1353,141.4444444444444444,34.7414352072771730,0.76437704421586623491,251.1111111111111111,122.181104194643,9.0184885474066695,100.00000000000000000000,0,0,NORMAL_ACTIVITY
