table_schema,table_name,column_name
public,view_ministry_productivity_matrix,first_document_date
public,view_ministry_productivity_matrix,government_bills
public,view_ministry_productivity_matrix,last_document_date
public,view_ministry_productivity_matrix,name
public,view_ministry_productivity_matrix,org_code
public,view_ministry_productivity_matrix,performance_classification
public,view_ministry_productivity_matrix,productivity_assessment
public,view_ministry_productivity_matrix,propositions
public,view_ministry_productivity_matrix,propositions_per_member
public,view_ministry_productivity_matrix,short_code
public,view_ministry_productivity_matrix,trend_classification
public,view_ministry_productivity_matrix,vs_average
public,view_ministry_productivity_matrix,vs_average_pct
public,view_ministry_productivity_matrix,year
public,view_ministry_productivity_matrix,year_avg_documents
public,view_ministry_productivity_matrix,year_max_documents
public,view_ministry_productivity_matrix,year_median_documents
public,view_ministry_productivity_matrix,year_min_documents
public,view_ministry_productivity_matrix,yoy_document_change
public,view_ministry_productivity_matrix,yoy_document_change_pct
public,view_ministry_risk_evolution,active_members
public,view_ministry_risk_evolution,activity_span_days
public,view_ministry_risk_evolution,assessment_period
public,view_ministry_risk_evolution,assessment_period_end
public,view_ministry_risk_evolution,document_count
public,view_ministry_risk_evolution,first_activity
public,view_ministry_risk_evolution,has_inactive_legislation_risk
public,view_ministry_risk_evolution,has_low_productivity_risk
public,view_ministry_risk_evolution,has_stagnation_risk
public,view_ministry_risk_evolution,has_understaffing_risk
public,view_ministry_risk_evolution,last_activity
public,view_ministry_risk_evolution,legislative_count
public,view_ministry_risk_evolution,name
public,view_ministry_risk_evolution,org_code
public,view_ministry_risk_evolution,prev_risk_score
public,view_ministry_risk_evolution,quarter
public,view_ministry_risk_evolution,risk_assessment
public,view_ministry_risk_evolution,risk_score
public,view_ministry_risk_evolution,risk_score_change
public,view_ministry_risk_evolution,risk_severity
public,view_ministry_risk_evolution,risk_trend
public,view_ministry_risk_evolution,severity_transition
public,view_ministry_risk_evolution,short_code
public,view_ministry_risk_evolution,year
public,view_party_effectiveness_trends,absence_trend
public,view_party_effectiveness_trends,active_document_authors
public,view_party_effectiveness_trends,active_members
public,view_party_effectiveness_trends,avg_absence_rate
public,view_party_effectiveness_trends,avg_rebel_rate
public,view_party_effectiveness_trends,avg_win_rate
public,view_party_effectiveness_trends,avg_yes_rate
public,view_party_effectiveness_trends,docs_per_member
public,view_party_effectiveness_trends,documents_produced
public,view_party_effectiveness_trends,effectiveness_assessment
public,view_party_effectiveness_trends,ma_4quarter_absence
public,view_party_effectiveness_trends,ma_4quarter_win_rate
public,view_party_effectiveness_trends,member_change
public,view_party_effectiveness_trends,members_with_violations
public,view_party_effectiveness_trends,motions_count
public,view_party_effectiveness_trends,party
public,view_party_effectiveness_trends,performance_level
public,view_party_effectiveness_trends,period_end
public,view_party_effectiveness_trends,period_start
public,view_party_effectiveness_trends,productivity_level
public,view_party_effectiveness_trends,quarter
public,view_party_effectiveness_trends,total_ballots
public,view_party_effectiveness_trends,total_votes
public,view_party_effectiveness_trends,violation_count
public,view_party_effectiveness_trends,violations_per_member
public,view_party_effectiveness_trends,votes_per_member
public,view_party_effectiveness_trends,win_rate_trend
public,view_party_effectiveness_trends,year
public,view_party_performance_metrics,active_members
public,view_party_performance_metrics,avg_absence_rate
public,view_party_performance_metrics,avg_participation_rate
public,view_party_performance_metrics,avg_rebel_rate
public,view_party_performance_metrics,avg_win_rate
public,view_party_performance_metrics,current_committee_chairs
public,view_party_performance_metrics,current_ministers
public,view_party_performance_metrics,docs_per_member
public,view_party_performance_metrics,documents_last_year
public,view_party_performance_metrics,inactive_members
public,view_party_performance_metrics,latest_member_violation
public,view_party_performance_metrics,members_with_violations
public,view_party_performance_metrics,motions_last_year
public,view_party_performance_metrics,party
public,view_party_performance_metrics,party_name
public,view_party_performance_metrics,performance_level
public,view_party_performance_metrics,performance_score
public,view_party_performance_metrics,propositions_last_year
public,view_party_performance_metrics,registration_date
public,view_party_performance_metrics,strengths
public,view_party_performance_metrics,total_violations
public,view_party_performance_metrics,total_votes_last_year
public,view_party_performance_metrics,violation_rate_percentage
public,view_party_performance_metrics,weaknesses
public,view_politician_behavioral_trends,absence_trend
public,view_politician_behavioral_trends,attendance_status
public,view_politician_behavioral_trends,avg_absence_rate
public,view_politician_behavioral_trends,avg_abstain_rate
public,view_politician_behavioral_trends,avg_no_rate
public,view_politician_behavioral_trends,avg_rebel_rate
public,view_politician_behavioral_trends,avg_win_rate
public,view_politician_behavioral_trends,avg_yes_rate
public,view_politician_behavioral_trends,behavioral_assessment
public,view_politician_behavioral_trends,discipline_status
public,view_politician_behavioral_trends,effectiveness_status
public,view_politician_behavioral_trends,first_name
public,view_politician_behavioral_trends,last_name
public,view_politician_behavioral_trends,ma_3month_absence
public,view_politician_behavioral_trends,ma_3month_rebel_rate
public,view_politician_behavioral_trends,ma_3month_win_rate
public,view_politician_behavioral_trends,party
public,view_politician_behavioral_trends,period_end
public,view_politician_behavioral_trends,period_start
public,view_politician_behavioral_trends,person_id
public,view_politician_behavioral_trends,rebel_rate_trend
public,view_politician_behavioral_trends,total_ballots
public,view_politician_behavioral_trends,total_votes
public,view_politician_behavioral_trends,violation_count
public,view_politician_behavioral_trends,violation_types
public,view_politician_behavioral_trends,win_rate_trend
public,view_politician_risk_summary,absenteeism_violations
public,view_politician_risk_summary,annual_absence_rate
public,view_politician_risk_summary,annual_rebel_rate
public,view_politician_risk_summary,annual_vote_count
public,view_politician_risk_summary,annual_win_rate
public,view_politician_risk_summary,collaboration_violations
public,view_politician_risk_summary,days_since_last_violation
public,view_politician_risk_summary,discipline_violations
public,view_politician_risk_summary,documents_last_year
public,view_politician_risk_summary,effectiveness_violations
public,view_politician_risk_summary,first_name
public,view_politician_risk_summary,last_name
public,view_politician_risk_summary,latest_violation_date
public,view_politician_risk_summary,party
public,view_politician_risk_summary,person_id
public,view_politician_risk_summary,productivity_violations
public,view_politician_risk_summary,risk_assessment
public,view_politician_risk_summary,risk_level
public,view_politician_risk_summary,risk_score
public,view_politician_risk_summary,status
public,view_politician_risk_summary,total_violations
public,view_riksdagen_coalition_alignment_matrix,aligned_votes
public,view_riksdagen_coalition_alignment_matrix,alignment_rate
public,view_riksdagen_coalition_alignment_matrix,bloc_relationship
public,view_riksdagen_coalition_alignment_matrix,coalition_likelihood
public,view_riksdagen_coalition_alignment_matrix,first_year
public,view_riksdagen_coalition_alignment_matrix,intelligence_comment
public,view_riksdagen_coalition_alignment_matrix,last_year
public,view_riksdagen_coalition_alignment_matrix,opposed_votes
public,view_riksdagen_coalition_alignment_matrix,party_1
public,view_riksdagen_coalition_alignment_matrix,party_2
public,view_riksdagen_coalition_alignment_matrix,shared_votes
public,view_riksdagen_coalition_alignment_matrix,years_observed
public,view_riksdagen_committee,active
public,view_riksdagen_committee,activity_level
public,view_riksdagen_committee,avg_documents_per_member
