hjid,file_name,file_size,file_type,file_url,document_attachment_list_doc_0
2766837,MOT_200809_Fi_220.doc,37376,doc,https://data.riksdagen.se/fil/5E8148D0-B525-46D2-8F46-E2D5FAC03F55,2766836
2169343,mot_202526__361.docx,71483,docx,https://data.riksdagen.se/fil/BBD9AFEE-B587-4A42-9B67-FB4896CF9143,2169341
933988,mot_200506_l_243.pdf,141244,pdf,https://data.riksdagen.se/fil/448915F9-DCCF-4E33-BE58-CE21F5E95060,933986
576223,BET_200102_AU_1.doc,605184,doc,https://data.riksdagen.se/fil/5E1353B1-D6B6-4876-9AA8-F1284501D537,576222
443838,BET_200102_KU_12.doc,212992,doc,https://data.riksdagen.se/fil/980B1646-4318-4C05-9B38-3390E32793D3,443837
1996808,mot_201617__2206.pdf,81600,pdf,https://data.riksdagen.se/fil/A72DBE71-219E-4F51-B841-8FB10F7B8379,1996807
2526448,201415_FiU13.pdf,3923352,pdf,https://data.riksdagen.se/fil/3CD426CE-F18A-4ECF-B9D5-033E368718A6,2526446
2052807,MOT_201314_T_498.doc,56832,doc,https://data.riksdagen.se/fil/8F6772A4-8ABE-4D2F-8BD6-300B0A882227,2052806
1359497,2013_14_JuU4.pdf,601970,pdf,https://data.riksdagen.se/fil/B52C7F55-B58F-411C-A813-972C01AA4FEE,1359496
917462,MOT_200506_A_359.doc,38912,doc,https://data.riksdagen.se/fil/BD9FBD0A-4540-4F4A-867C-5BDFEE136717,917461
1867319,MOT_201314_A_380.doc,56832,doc,https://data.riksdagen.se/fil/A2F4D4FF-62D0-4480-988E-4634275C63D2,1867317
2051838,mot_201617__808.pdf,60286,pdf,https://data.riksdagen.se/fil/38B302AE-6F8C-476B-B802-2C09CFE64A1B,2051837
1645016,2010_11_KrU9.pdf,225950,pdf,https://data.riksdagen.se/fil/7A7A87D0-A70A-4947-BA24-6297562EA6CA,1645015
1875206,mot_202425__2196.pdf,77775,pdf,https://data.riksdagen.se/fil/7C509815-F357-4ECC-B449-D9FE419C8A58,1875205
1623114,mot_201415__630.pdf,67914,pdf,https://data.riksdagen.se/fil/C500408D-DE0A-48E4-A6AF-15872BF41482,1623113
2491665,mot_200809_k_373.pdf,116602,pdf,https://data.riksdagen.se/fil/7037AFFE-B87A-43D4-8531-1754E404FC35,2491663
1800690,MOT_201112_A_201.doc,52224,doc,https://data.riksdagen.se/fil/844C5E2F-FC46-4CBA-8F7D-C64789D8D2EE,1800689
2429322,prop_201112__107.pdf,466030,pdf,https://data.riksdagen.se/fil/C654D981-0850-4F4F-84C8-8BFE5F55C2FE,2429320
1763748,mot_202324__501.pdf,78151,pdf,https://data.riksdagen.se/fil/C496B39A-781F-4121-92AC-379BD48CF805,1763747
696072,mot_200506_bo_283.pdf,197812,pdf,https://data.riksdagen.se/fil/F8A4225C-FD99-40C4-8EB6-EB81BF08D0AB,696070
2052116,mot_201516__2316.docx,48447,docx,https://data.riksdagen.se/fil/FDE6D1C7-F1ED-4FDC-AAC0-FD068775CE5B,2052114
1445229,mot_201011_c_318.pdf,156978,pdf,https://data.riksdagen.se/fil/4F9A0449-2C8C-4BD2-8E4C-C9249EA5A091,1445227
1594912,MOT_200910_Sf_388.doc,37888,doc,https://data.riksdagen.se/fil/F97ABC61-0C5A-425A-B932-A02C5F190596,1594911
1699376,prop_200607__87.pdf,200466,pdf,https://data.riksdagen.se/fil/4BB167F5-CEFF-42F6-8720-AF02150DA60F,1699375
1856534,mot_200607_ju_279.pdf,151283,pdf,https://data.riksdagen.se/fil/C7740D6D-FCBA-4DBA-9F27-95F8BFF63DAC,1856532
2465510,prop_201516__1_d18.pdf,3427825,pdf,https://data.riksdagen.se/fil/E4D76505-FC7B-42F6-9619-E10BA85936FC,2465492
2362656,mot_201718__2168.docx,57201,docx,https://data.riksdagen.se/fil/2906B6B9-E283-42D7-BF19-993D730F117D,2362654
648873,MOT_200506_Ju_420.doc,106496,doc,https://data.riksdagen.se/fil/7C22D78D-C241-4CAC-B6DA-DC4F6C921B7E,648872
2362752,mot_202324__2455.pdf,121130,pdf,https://data.riksdagen.se/fil/668E619A-987B-4CA8-81C3-14B3DB78DE84,2362751
1739715,mot_200607_so_313.pdf,129330,pdf,https://data.riksdagen.se/fil/1D4D2845-8EF6-4A73-993E-E6C99BD985F2,1739713
