embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2018-02-26,SD,29,1969,61.75,16.45,17.25,4.56,54.30,10121,6181,1640,500,1800,1305,624,230,267,184,1974,77.78,47.82,17.62,20.46,14.10,18,62.07,29,100.00,61.07,16.20,4.94,17.78,100.00
2014-03-17,C,12,1963,54.95,23.20,14.13,7.73,56.73,4188,2318,935,343,592,276,216,0,0,60,1963,56.52,78.26,0.00,0.00,21.74,12,100.00,12,100.00,55.35,22.33,8.19,14.14,100.00
2014-06-16,L,26,1963,66.25,22.63,8.76,2.38,56.45,9074,5798,2210,208,858,624,529,21,0,74,1960,58.33,84.78,3.37,0.00,11.86,25,96.15,26,100.00,63.90,24.36,2.29,9.46,100.00
2008-11-03,KD,8,1958,59.57,22.79,16.57,1.08,53.30,2792,1683,612,29,468,192,142,0,0,50,1952,54.17,73.96,0.00,0.00,26.04,8,100.00,8,100.00,60.28,21.92,1.04,16.76,100.00
2010-02-08,M,13,1959,46.64,30.17,20.94,2.26,53.27,4537,2117,1390,81,949,1248,1035,0,0,213,1959,56.25,82.93,0.00,0.00,17.07,13,100.00,13,100.00,46.66,30.64,1.79,20.92,100.00
2011-01-24,C,7,1963,74.11,11.70,13.53,0.67,54.44,2443,1763,350,19,311,161,120,20,0,21,1964,60.87,74.53,12.42,0.00,13.04,7,100.00,6,85.71,72.17,14.33,0.78,12.73,91.67
2007-12-17,M,3,1958,68.77,16.12,14.90,0.22,53.01,1047,685,203,2,157,291,252,0,0,39,1959,56.70,86.60,0.00,0.00,13.40,3,100.00,3,100.00,65.43,19.39,0.19,15.00,100.00
2014-06-16,V,26,1963,66.25,22.63,8.76,2.38,56.45,9074,5798,2210,208,858,494,151,200,83,60,1961,47.37,30.57,40.49,16.80,12.15,9,34.62,26,100.00,63.90,24.36,2.29,9.46,100.00
2017-10-23,V,7,1969,62.63,18.01,16.99,2.37,53.87,2443,1530,440,58,415,147,64,32,16,35,1970,38.10,43.54,21.77,10.88,23.81,4,57.14,7,100.00,62.63,18.01,2.37,16.99,100.00
2020-03-30,C,27,1973,11.36,2.96,84.26,1.43,52.44,9423,1064,280,140,7939,837,115,15,5,702,1972,64.52,13.74,1.79,0.60,83.87,23,85.19,27,100.00,11.29,2.97,1.49,84.25,100.00
2023-05-22,KD,21,1975,55.79,18.64,16.08,9.50,53.01,7329,4089,1366,696,1178,399,294,0,0,105,1970,73.68,73.68,0.00,0.00,26.32,21,100.00,21,100.00,55.79,18.64,9.50,16.07,100.00
2021-02-08,V,17,1973,11.07,4.05,84.39,0.50,52.30,5933,676,226,29,5002,459,56,8,4,391,1974,29.63,12.20,1.74,0.87,85.19,15,88.24,16,94.12,11.39,3.81,0.49,84.31,96.16
2020-04-13,KD,21,1973,11.37,3.00,84.25,1.38,52.44,7329,833,220,101,6175,462,39,15,9,399,1969,63.64,8.44,3.25,1.95,86.36,12,57.14,20,95.24,11.37,3.00,1.38,84.25,95.24
